lender_id,country_code,uid,occupation,loan_count,member_since_date
robert66029149,AU,robert66029149,NA,34,5/28/2008
shamala1208,SG,shamala1208,NA,8,5/28/2008
kikuyo7519,JP,kikuyo7519,NA,2,5/28/2008
jos7943,PT,jos7943,Teacher,18,5/28/2008
taralie2880,US,taralie2880,artists/mother/skills teach for disabled people,6,5/28/2008
jeanpierre5929,FR,jeanpierre5929,employee,25,5/29/2008
carol22125485,US,carol22125485,Minister,4,5/29/2008
linda3569,US,linda3569,Recycler,1,5/29/2008
shanekeehner,US,shanekeehner,Entrepreneur,5,5/30/2008
beverly8269,NA,beverly8269,University Administrator,0,5/30/2008
fred2467,NO,fred2467,it-person,31,5/30/2008
laurene9060,US,laurene9060,Asst. Mgr. @ music & movie retail shop,2,5/30/2008
chadrhodes,US,chadrhodes,Student,0,2/1/2007
lando7067,NA,lando7067,NA,0,2/2/2007
6590,NA,6590,NA,0,2/2/2007
roberto2518,US,roberto2518,Information Technology,0,2/2/2007
marylynn,US,marylynn,"Product Manager, Publishing",35,2/3/2007
janet5379,US,janet5379,artist/psychotherapist,13,2/3/2007
laurel1273,NA,laurel1273,NA,1,2/4/2007
clara6767,NA,clara6767,NA,0,2/4/2007
bernie5633,US,bernie5633,artist,36,2/4/2007
riel2306,CA,riel2306,Riel,1,2/5/2007
elizabeth4989,US,elizabeth4989,lawyer,2,2/7/2007
leslie9793,US,leslie9793,student,4,2/7/2007
molly5529,US,molly5529,Comedy Booker,4,2/7/2007
lynne9621,GB,lynne9621,Housewife,20,5/31/2008
judith4400,US,judith4400,therapist,5,5/31/2008
werdnanoslen,US,werdnanoslen,Student,0,5/31/2008
peggy20132356,CN,peggy20132356,Product Manager,34,6/1/2008
anthony4493,AU,anthony4493,real estate agent,8,6/1/2008
thomas2571,NA,thomas2571,Student,0,6/1/2008
michelle4412,NA,michelle4412,NA,0,6/1/2008
nicole5765,CA,nicole5765,professor,1,6/1/2008
amberandvicki6758,NA,amberandvicki6758,Website Administrator,0,6/2/2008
william1145,US,william1145,Sales,8,6/2/2008
carol3201,US,carol3201,college professor,46,6/2/2008
patty3158,NA,patty3158,NA,0,6/2/2008
ravi3388,NA,ravi3388,NA,0,6/2/2008
kevin8798,NA,kevin8798,Sales,0,6/3/2008
ema2638,PT,ema2638,photographer,2,6/3/2008
philip9163,US,philip9163,Student,7,6/3/2008
carolyn0182,US,carolyn0182,Engineer,7,6/3/2008
ollie3177,US,ollie3177,Stay at home mother,5,6/3/2008
julie8172,US,julie8172,writer,2,6/3/2008
brianna4554,NA,brianna4554,NA,0,6/3/2008
anniem,US,anniem,NA,15,6/4/2008
caitlin48174922,GB,caitlin48174922,mum,155,6/4/2008
takuo5013,NA,takuo5013,Consultant,0,6/4/2008
jake9151,NA,jake9151,Computer Programmer,0,6/4/2008
julie7611,US,julie7611,NA,1,6/4/2008
steven7779,US,steven7779,Graduate student and adjunct faculty,43,6/5/2008
melissa6316,US,melissa6316,Global Spirit,6,6/5/2008
mark1655,NA,mark1655,NA,2,6/5/2008
liz8893,US,liz8893,NA,19,6/5/2008
walter2694,DE,walter2694,Retired,23,6/5/2008
katja3028,NA,katja3028,NA,0,6/5/2008
paul1006,GB,paul1006,NA,31,6/5/2008
bhuvan8454,NA,bhuvan8454,freelancer,0,6/6/2008
marieisabel6411,NA,marieisabel6411,teacher,0,6/6/2008
chery7529,NA,chery7529,NA,1,6/6/2008
nancy6134,US,nancy6134,NA,3,6/6/2008
dolores9784,NA,dolores9784,Retired,0,6/7/2008
kristina8511,US,kristina8511,travel agent,19,6/7/2008
lazzy7773,NA,lazzy7773,engineer,0,6/7/2008
christian6817,DE,christian6817,NA,4,6/7/2008
roxanne5279,NA,roxanne5279,NA,2,6/7/2008
ariel9250,US,ariel9250,NA,0,6/8/2008
howard4148,GB,howard4148,NA,189,6/8/2008
kjetil7548,NA,kjetil7548,NA,3,6/8/2008
arnold1282,DE,arnold1282,NA,16,6/8/2008
davenezha7532,US,davenezha7532,Teacher~ Carpenter,26,6/8/2008
kevinandshawna5520,NA,kevinandshawna5520,Roofer/Student,2,6/8/2008
hilary4757,GB,hilary4757,Retired,26,6/8/2008
matthew9916,US,matthew9916,Chef,10,6/9/2008
hemma5644,NA,hemma5644,employee,0,6/9/2008
litana4828,NA,litana4828,NA,0,6/9/2008
angel4620,AU,angel4620,NA,15,6/10/2008
VeloBusDriver,US,velobusdriver,Transit Operator,24,6/10/2008
ben7461,NA,ben7461,Marketing,2,6/10/2008
patricia2945,US,patricia2945,Psychologist,3,6/10/2008
john83876517,US,john83876517,professor,15,6/10/2008
karla2025,NA,karla2025,art teacher,1,6/10/2008
erin3680,NA,erin3680,Teacher,0,6/10/2008
astrid1029,DE,astrid1029,NA,5,6/10/2008
vanessa3995,NZ,vanessa3995,NA,13,6/11/2008
todd7403,US,todd7403,NA,6,6/11/2008
brian3982,NA,brian3982,Network Engineer,0,6/12/2008
grahame6165,NA,grahame6165,NA,2,6/12/2008
janet46243771,US,janet46243771,NA,1,6/12/2008
susanne7188,NA,susanne7188,teacher,0,6/12/2008
aidapaola1529,NA,aidapaola1529,student,0,6/12/2008
giovanni1606,NA,giovanni1606,NA,0,6/12/2008
andrew14418115,US,andrew14418115,engineer,4,6/12/2008
melita3389,NA,melita3389,curator,0,6/12/2008
muna1233,NA,muna1233,ADMINISTRATOR,0,6/13/2008
katharina7318,DE,katharina7318,NA,4,6/13/2008
valtor,ES,valtor,NA,21,6/13/2008
ezra2723,NA,ezra2723,Student,4,6/13/2008
edwin2959,NA,edwin2959,Account Manager,0,6/13/2008
leah7543,NA,leah7543,student,7,6/13/2008
rocky5282,US,rocky5282,Marketing,0,6/13/2008
sonia7400,NA,sonia7400,NA,3,6/13/2008
susan7381,NA,susan7381,vision therapist,0,6/14/2008
buzz9209,US,buzz9209,video editor,0,6/14/2008
ingrid1715,DE,ingrid1715,NA,6,6/14/2008
yasin9999,MY,yasin9999,Executive,1,6/14/2008
chris4222,NA,chris4222,Student,4,6/14/2008
nina3639,GB,nina3639,NA,5,6/14/2008
william7117,US,william7117,NA,5,6/14/2008
jacqui6665,NA,jacqui6665,Programme Manager,0,6/14/2008
jodi8800,US,jodi8800,pastor and musician,2,6/14/2008
suefan,US,suefan,NA,12,6/14/2008
daryl2522,US,daryl2522,NA,51,6/15/2008
leslie9047,NA,leslie9047,NA,4,6/15/2008
jim6148,US,jim6148,NA,4,6/15/2008
elizabeth66424440,CA,elizabeth66424440,Educator,22,6/15/2008
sabine4094,DE,sabine4094,NA,4,6/15/2008
britt3700,US,britt3700,business manager,7,6/15/2008
howard7090,NA,howard7090,manager,0,6/15/2008
lucas1919,NA,lucas1919,student,0,6/15/2008
jennie1142,CA,jennie1142,Teacher,7,6/16/2008
roby4924,US,roby4924,Student,2,6/16/2008
lisa9725,NA,lisa9725,NA,10,6/16/2008
alvin2474,NA,alvin2474,Retired clergy,0,6/16/2008
sara6586,NA,sara6586,teacher,1,6/16/2008
cory2528,US,cory2528,NA,0,6/16/2008
curt1178,US,curt1178,Engr. Mgr. & G\'pa,1,6/16/2008
erica2915,NA,erica2915,student,5,6/17/2008
chris1727,CA,chris1727,Internet Marketer,9,6/17/2008
sara5460,US,sara5460,Librarian,6,6/17/2008
sophie6891,NA,sophie6891,student,6,6/17/2008
walter3601,US,walter3601,truck driver,37,6/17/2008
doris9374,NA,doris9374,Veterinary Nurse,4,6/17/2008
pam2999,US,pam2999,NA,16,6/17/2008
gabriele2401,DE,gabriele2401,NA,8,6/18/2008
anthonykayode5891,NA,anthonykayode5891,CLERGY,0,6/18/2008
sakae8890,NA,sakae8890,art teacher,0,6/18/2008
william3464,US,william3464,Defense,7,6/18/2008
croft1435,CA,croft1435,Retired,46,6/18/2008
keely2395,US,keely2395,2nd grade teacher,4,6/18/2008
david1063,NA,david1063,NA,2,6/19/2008
grace1087,US,grace1087,Teacher,1,6/19/2008
colinandpatricia9964,NA,colinandpatricia9964,NA,0,6/19/2008
zoe9666,NA,zoe9666,Publishing,0,6/19/2008
christina2911,GB,christina2911,Bookeeper,6,6/19/2008
gabe7328,US,gabe7328,NA,10,6/19/2008
abdulvohid1228,NA,abdulvohid1228,Senior Data Base Operator,0,6/20/2008
stephanie5338,NA,stephanie5338,Retired engineer,0,6/20/2008
cs9949,US,cs9949,NA,0,6/20/2008
vickie9627,NA,vickie9627,NA,13,6/20/2008
kirsi4425,NA,kirsi4425,coordinator,0,6/20/2008
zack3203,NA,zack3203,product marketing manager,0,6/21/2008
raghu9231,IN,raghu9231,NA,1,6/21/2008
astrid5293,DE,astrid5293,Chemisch-Technische Assistentin,105,6/21/2008
ekwere2173,NA,ekwere2173,NA,0,6/21/2008
bill21894923,US,bill21894923,Engineer,43,6/21/2008
heather8201,NA,heather8201,Volunteer,0,6/21/2008
john65546470,CA,john65546470,Engineer (retired),65,6/22/2008
glenn2792,US,glenn2792,NA,2,6/23/2008
edward6780,NA,edward6780,NA,2,6/23/2008
kevin5842,FR,kevin5842,Teacher,26,6/23/2008
lovethph2207,NA,lovethph2207,NA,0,6/24/2008
xavier7903,FR,xavier7903,PhD Student,1,6/24/2008
suzan4771,NA,suzan4771,student,0,6/24/2008
linda8745,NA,linda8745,retired,0,6/24/2008
aren5350,US,aren5350,NA,34,6/24/2008
ishnw8351,US,ishnw8351,NA,2,6/24/2008
linda9648,NA,linda9648,scientist,1,6/24/2008
maureen8762,US,maureen8762,Financial Advisor,6,6/24/2008
adeline8588,US,adeline8588,retired elder,1,6/25/2008
stacy3255,US,stacy3255,Volunteer Coordinator,66,6/26/2008
kate1207,AU,kate1207,mother,1,6/26/2008
trish6607,NA,trish6607,Scenar Practitioner,0,6/26/2008
ezxku5597,NA,ezxku5597,NA,0,6/26/2008
sue6519,NA,sue6519,NA,0,6/26/2008
wendyandjohn7456,NA,wendyandjohn7456,NA,0,6/26/2008
anna3445,NA,anna3445,NA,0,6/26/2008
troy8391,AU,troy8391,NA,11,6/26/2008
sidrah3866,NA,sidrah3866,student,0,6/26/2008
gail7035,AU,gail7035,psychologist,19,6/26/2008
heather5955,US,heather5955,NA,9,2/8/2007
liam6020,US,liam6020,Student,8,2/9/2007
mark1220,NA,mark1220,finance,0,2/9/2007
sheilaand5002,AF,sheilaand5002,school nurse,7,2/10/2007
george8984,US,george8984,NA,58,2/11/2007
tinaandpj,US,tinaandpj,Professionals,6,2/12/2007
pierre9639,NA,pierre9639,NA,38,2/14/2007
xsgom7216,NA,xsgom7216,Systemaufstellungen,0,6/26/2008
christerandersson,FR,christerandersson,Program Director,38,6/26/2008
neelley,US,neelley,Methodist Minister,8,6/26/2008
suzanne7319,CA,suzanne7319,house wife,6,6/26/2008
taru1517,NA,taru1517,Singer,0,6/26/2008
kellie7204,AU,kellie7204,student,3,6/27/2008
justin1038,NA,justin1038,NA,0,6/27/2008
holly1536,NA,holly1536,NA,0,6/27/2008
lars9611,DE,lars9611,Engineer,10,6/27/2008
eunice4766,NA,eunice4766,NA,0,6/27/2008
nicole1427,NA,nicole1427,NA,0,6/27/2008
grace3425,US,grace3425,house wife,1,6/28/2008
trisweb,US,trisweb,Software Engineer,14,6/29/2008
concepcion6231,NA,concepcion6231,contractor,0,6/29/2008
david6235,GB,david6235,retired,2,6/29/2008
manleen7635,IN,manleen7635,Teacher,4,6/29/2008
daenaeduardo,US,daenaeduardo,do-gooders,31,6/29/2008
marji5430,NA,marji5430,NA,10,6/29/2008
andrea3379,CL,andrea3379,Translator,4,6/30/2008
bob3090,NA,bob3090,retired educator,0,6/30/2008
thtstudios,AU,thtstudios,Living,25,6/30/2008
stephen32596921,AU,stephen32596921,Accountant,3,6/30/2008
rosemary1963,US,rosemary1963,caregiver,4,6/30/2008
kendall2889,US,kendall2889,teacher,7,6/30/2008
nara9826,NA,nara9826,finance,0,7/1/2008
sam95404954,US,sam95404954,NA,4,7/1/2008
sigridann5670,NA,sigridann5670,Retired teacher/secretary,0,7/1/2008
yoonsik1717,NA,yoonsik1717,NA,0,7/2/2008
gina7502,US,gina7502,Student,0,7/2/2008
