lender_id,country_code,uid,occupation,loan_count,member_since_date
matt,US,matt,Entrepreneur,137,1/1/2006
hope,US,hope,NA,2,1/1/2006
jeevan,US,jeevan,consultant of some kind,11,1/1/2006
stephen6473,US,stephen6473,NA,13,1/1/2006
stian,US,stian,student,17,1/1/2006
scott4672,CA,scott4672,Teacher/Administrator,8,1/1/2006
johanna,US,johanna,library intern,151,1/1/2006
nicholas,US,nicholas,NA,32,1/1/2006
jeff1667,GB,jeff1667,Freight Forwarder,74,1/1/2006
valrozycki,IN,valrozycki,Aspiring Social Entrepreneur,0,1/1/2006
mauricio6174,US,mauricio6174,Engineer,40,4/25/2006
tammy4974,US,tammy4974,NA,20,4/30/2006
marina7960,US,marina7960,NA,4,5/5/2006
jumbocraft,US,jumbocraft,NA,15,6/6/2006
john7492,US,john7492,Professor,41,6/20/2006
karen8400,US,karen8400,NA,5,7/3/2006
kmf,US,kmf,Spirited Strategist,13,7/13/2006
anna3462,US,anna3462,Digital/TV,22,7/22/2006
eric1269,US,eric1269,Software Engineer,2,7/26/2006
j23k,US,j23k,NA,34,11/27/2006
barb4410,US,barb4410,NA,9,11/29/2006
michele2892,US,michele2892,student,1,11/29/2006
robert5950,US,robert5950,retired,15,11/29/2006
rosie7405,NA,rosie7405,NA,0,11/29/2006
peggy3905,US,peggy3905,nurse-midwife,1,11/30/2006
carol7228,US,carol7228,Healthcare,21,11/30/2006
marci6511,US,marci6511,writer,1,11/30/2006
patricia3499,US,patricia3499,student,1,12/1/2006
david13987601,US,david13987601,Retired Minister,3,12/2/2006
jessica5838,US,jessica5838,Financial Services,10,12/2/2006
mark4130,US,mark4130,Firefighter,5,12/2/2006
alvin3678,CA,alvin3678,NA,3,12/3/2006
sara7365,US,sara7365,Architectural Lighting Designer,14,12/3/2006
chantelle1406,CA,chantelle1406,teacher,4,9/17/2007
william2282,US,william2282,student,2,9/17/2007
gbaguidi3536,NA,gbaguidi3536,IT Professional,0,9/17/2007
hpshin,US,hpshin,Systems Analyst,0,9/17/2007
ohrhatorahmensgroup,US,ohrhatorahmensgroup,Mens Group,23,9/17/2007
tetsuo1881,TH,tetsuo1881,office worker,3,9/17/2007
derek9090,US,derek9090,Human Resources Generalist,22,9/17/2007
josh4492,US,josh4492,Entrepreneur,2,9/17/2007
eden3885,NA,eden3885,Sales Manager,0,9/17/2007
terri6630,CA,terri6630,NA,2,9/18/2007
robert6767,NA,robert6767,unemployed vet,0,9/18/2007
debra8833,NA,debra8833,Refractive Surgery Coordinator,2,9/18/2007
k00kaburra,US,k00kaburra,Student,395,9/18/2007
danilo1026,NA,danilo1026,Webdeveloper,0,9/19/2007
kim7324,NA,kim7324,Manager,0,9/19/2007
james7918,US,james7918,Advisor,2,9/19/2007
marco6386,NA,marco6386,translator,0,9/19/2007
sheryl5086,NA,sheryl5086,NA,2,9/19/2007
lynda2317,US,lynda2317,NA,10,9/19/2007
michelle8758,NA,michelle8758,NA,0,9/19/2007
tiffany5687,US,tiffany5687,NA,83,9/19/2007
beau9972,US,beau9972,Student...Entrepreneur,134,9/19/2007
jennifer2185,US,jennifer2185,Financial Ops Processor,7,9/20/2007
leighs9433,US,leighs9433,Psychologist,6,9/20/2007
vincent7159,BE,vincent7159,NA,4,9/20/2007
jacky9843,US,jacky9843,nonprofit,1,9/20/2007
carlo8327,NA,carlo8327,doctorant,6,9/20/2007
lyndsey5984,US,lyndsey5984,Insurance Agent,19,9/20/2007
john6947,NA,john6947,consultant,0,9/20/2007
william1279,US,william1279,Aircraft Mechanic,14,9/21/2007
craig9773,US,craig9773,winemaker,17,9/21/2007
danamay5595,US,danamay5595,retired,17,9/21/2007
makela5843,US,makela5843,Biologist,1,9/21/2007
antonio3300,ES,antonio3300,Lawyer / ATC,5,9/22/2007
leva3184,US,leva3184,Writer,1,9/22/2007
laura2690,US,laura2690,Claims Associate,9,9/22/2007
adiandelena1844,US,adiandelena1844,NA,6,9/22/2007
dennis2097,US,dennis2097,NA,11,9/22/2007
bryan7441,US,bryan7441,Finance,12,9/22/2007
kathy4178,US,kathy4178,Pastor,26,9/22/2007
beth3251,US,beth3251,educator,8,9/22/2007
susan4736,US,susan4736,NA,3,9/23/2007
glen1038,US,glen1038,Student,13,9/23/2007
paul4280,CA,paul4280,NA,0,9/23/2007
jimandkathie4996,US,jimandkathie4996,sales,2,9/24/2007
abrar7165,NA,abrar7165,NA,0,9/24/2007
louann6062,US,louann6062,NA,4,9/24/2007
sonya4174,US,sonya4174,"The Home Depot, Texas",6,9/24/2007
moses5331,US,moses5331,NA,21,9/24/2007
aaron5683,NA,aaron5683,a dj,0,9/25/2007
choisim2507,NA,choisim2507,College Student,0,9/25/2007
jenesaandmorgan8594,US,jenesaandmorgan8594,Regional Property Manager,3,9/25/2007
carol18754994,US,carol18754994,NA,18,9/25/2007
heather5441,US,heather5441,teacher,1,9/25/2007
tim2197,US,tim2197,"Airlines, Screen printing, embroidery and more",1,9/25/2007
meredith4514,US,meredith4514,Freelance Hair & Makeup,6,9/26/2007
marti1169,CA,marti1169,Account Manager,20,9/26/2007
janet1881,US,janet1881,credit union manager,5,9/26/2007
tanya6541,US,tanya6541,Citizen of the world,20,9/26/2007
connie4859,US,connie4859,retired,52,9/26/2007
robin6005,CA,robin6005,NA,53,9/27/2007
elaine3582,NA,elaine3582,NA,0,9/27/2007
hanofit3985,NA,hanofit3985,shoemaker,0,9/27/2007
jamila3451,CA,jamila3451,Student,12,9/27/2007
renee2856,US,renee2856,substitute teacher,37,9/27/2007
toni3080,NA,toni3080,NA,0,9/27/2007
eva2705,NA,eva2705,Student,0,9/28/2007
stephen8041,US,stephen8041,Planetary Enzyme,25,9/28/2007
david4671,US,david4671,Systems Integrator,1,9/28/2007
sandra6073,US,sandra6073,NA,15,9/28/2007
sally9572,NA,sally9572,student,0,9/28/2007
ankhx100,US,ankhx100,Student,339,9/28/2007
brianwalsh,US,brianwalsh,Pilot US Air Force,25,9/28/2007
michael6404,NA,michael6404,broker,0,9/28/2007
phil8921,US,phil8921,Roller Coaster Rider,8,9/28/2007
doublehop,US,doublehop,TOOL,11,9/28/2007
nate7461,US,nate7461,student,20,9/28/2007
jp3278,US,jp3278,Disabled,4,9/28/2007
lee4242,US,lee4242,Technology Mktg/Sales,19,9/28/2007
sheila9281,US,sheila9281,talent agent,7,9/29/2007
guy1858,US,guy1858,entomologist,1,9/29/2007
rpmccarthy,AU,rpmccarthy,NA,95,9/29/2007
robert7696,NA,robert7696,Student,0,9/29/2007
robert5640,US,robert5640,Professor,26,9/29/2007
aaron3628,US,aaron3628,professor,8,9/29/2007
michael1384,US,michael1384,Self Employed,7,9/29/2007
kristen7666,US,kristen7666,Software Engineer,23,9/29/2007
ed9603,US,ed9603,Retired,12,9/29/2007
steffen7211,DE,steffen7211,Logistics Projects,9,9/29/2007
brendan3587,AU,brendan3587,Internet Marketing Consultant,1,9/29/2007
joe1765,US,joe1765,firefighter/paramedic,6,9/29/2007
katherine7088,NA,katherine7088,NA,0,9/29/2007
debra7424,US,debra7424,NA,29,9/29/2007
david41346994,US,david41346994,"Computer Scientist, Alcatel-Lucent",5,9/29/2007
barbara5883,NA,barbara5883,nurse,0,9/29/2007
rana5647,NA,rana5647,pharmacist,0,9/29/2007
robert1214,NA,robert1214,translator,14,9/29/2007
jd2280,US,jd2280,Sales,1,9/30/2007
angela9993,US,angela9993,In My Business,33,9/30/2007
jamesbeauregard,US,jamesbeauregard,"coffee drinker, singer/songwriter",51,9/30/2007
kristen7696,US,kristen7696,Nurse,9,9/30/2007
rjeannine6958,US,rjeannine6958,Retired,3,9/30/2007
bonnie2665,US,bonnie2665,retired,5,9/30/2007
kate3230,US,kate3230,VP,12,9/30/2007
jason6458,US,jason6458,Writer/editor,5,10/1/2007
corrlea9056,CA,corrlea9056,Optician,12,10/1/2007
walta7731,US,walta7731,retired,1,10/1/2007
destry5331,US,destry5331,restoration artist,6,10/2/2007
david6781,US,david6781,lawn care,1,10/2/2007
erik8369,US,erik8369,Engineer,1,10/2/2007
erik8989,US,erik8989,NA,2,10/2/2007
siobhan1409,US,siobhan1409,UCONN Student,5,10/2/2007
harel4512,IL,harel4512,NA,1,10/2/2007
david6434,NA,david6434,Doctor of Chiropractic,2,10/2/2007
daniel1590,CH,daniel1590,NA,120,10/2/2007
david2251,US,david2251,Art Director,4,10/2/2007
connie1195,US,connie1195,professor,7,10/3/2007
lynn7256,US,lynn7256,Conservation biologist,5,10/3/2007
larry9487,NA,larry9487,Graphics,0,10/3/2007
johnandterana3695,NA,johnandterana3695,NA,0,10/3/2007
vincent4272,MY,vincent4272,Student,1,10/3/2007
lisa2510,US,lisa2510,teacher,10,10/3/2007
karen3413,US,karen3413,NA,2,10/3/2007
monica4033,NA,monica4033,entrepreneur,0,10/3/2007
elizabeth7429,GB,elizabeth7429,housewife,5,10/4/2007
kate3296,GB,kate3296,Production Coordinator,1,10/4/2007
tom7835,CA,tom7835,Software Developer,0,10/4/2007
d2262,CA,d2262,NA,25,10/4/2007
jennifer91836613,GB,jennifer91836613,NA,8,10/4/2007
stevemarsh,CA,stevemarsh,Research Scientist,4,10/4/2007
nell6799,US,nell6799,homeschool / soccer,5,10/4/2007
robert8742,CA,robert8742,Engineer,34,10/4/2007
tobe2489,CA,tobe2489,Fisherman,1,10/5/2007
claire3805,US,claire3805,retired/student,3,10/5/2007
amanda18798746,NA,amanda18798746,Office Manager / Student,0,10/5/2007
maria1375,NA,maria1375,NA,0,10/5/2007
sherry2529,US,sherry2529,NA,9,10/5/2007
jason7673,US,jason7673,Writer/Athlete,231,10/6/2007
judethaddeus5386,NA,judethaddeus5386,student,0,10/6/2007
jacqueline2763,US,jacqueline2763,NA,4,10/6/2007
jo5633,GB,jo5633,Musician,21,10/6/2007
takahiro3720,JP,takahiro3720,teacher,1,10/7/2007
keith1223,GB,keith1223,music producer,6,10/7/2007
kathryn9300,US,kathryn9300,NA,22,10/7/2007
dan5898,CA,dan5898,Realtor,24,10/7/2007
lynne5022,NA,lynne5022,NA,165,10/7/2007
anita1959,US,anita1959,Wedding Officiant,14,12/4/2006
allison8404,AF,allison8404,NA,1,12/4/2006
mike4851,US,mike4851,NA,26,12/4/2006
david9434,US,david9434,Entrepreneur,116,12/4/2006
matthew6838,US,matthew6838,teacher,1,12/5/2006
don7942,US,don7942,NA,8,12/5/2006
dicksuth,GB,dicksuth,IT Consultant,59,12/5/2006
krisandandy1605,US,krisandandy1605,Boat Carpenter & Teacher,171,12/6/2006
ParsonsChancellor,US,parsonschancellor,NA,78,12/6/2006
brooklyn,US,brooklyn,Communications,11,12/6/2006
brett5099,US,brett5099,Student,2,12/6/2006
michael7482,US,michael7482,IT Director,0,12/6/2006
jimandestelle5106,US,jimandestelle5106,teacher,20,12/7/2006
allison7148,US,allison7148,NA,4,12/7/2006
daniel4476,US,daniel4476,Military Officer,6,12/8/2006
liz6511,US,liz6511,NA,112,12/8/2006
kenneth9397,US,kenneth9397,"Operations Officer, Home Automation Consultants",61,12/9/2006
jayne5326,US,jayne5326,NA,67,12/9/2006
kathleen9850,AU,kathleen9850,Own Business,1,10/8/2007
maria4729,NA,maria4729,cafe proprietor,3,10/8/2007
vivien7935,NA,vivien7935,Retired,0,10/8/2007
linda4230,NA,linda4230,NA,0,10/8/2007
grahamandnella4383,AU,grahamandnella4383,Retired Business Owners,34,10/8/2007
melissa1232,NA,melissa1232,administrator/student,0,10/8/2007
emma2758,AU,emma2758,SSO,10,10/8/2007
danielle8500,AU,danielle8500,doctor,13,10/8/2007
elizabeth41703400,NA,elizabeth41703400,teacher,0,10/8/2007
sue3227,NA,sue3227,NA,2,10/8/2007
randi2141,US,randi2141,Graphic Designer,5,10/8/2007
michael4141,US,michael4141,Project Manager,3,10/8/2007
seangray,US,seangray,environmentalist,9,10/8/2007
summer4375,US,summer4375,water resources engineer,34,10/8/2007
natasha4460,AU,natasha4460,NA,5,10/9/2007
natalie6071,AU,natalie6071,Mummy / Theatre worker,8,10/9/2007
colleen2882,NA,colleen2882,virtual assistant,0,10/9/2007
danielle9132,AU,danielle9132,teacher,4,10/9/2007
amy7776,US,amy7776,Massage Therapist,1,10/9/2007
lori1435,US,lori1435,law student,6,10/9/2007
robert24252542,US,robert24252542,Engineer,1,10/9/2007
paul3927,CA,paul3927,CMO,6,10/9/2007
marlys6731,NA,marlys6731,NA,3,10/9/2007
sarah9179,US,sarah9179,small business owner,6,10/9/2007
ronald2183,US,ronald2183,retired,18,10/9/2007
elizabeth6268,AU,elizabeth6268,Senior Admin Officer,91,10/10/2007
marieclaire4232,NA,marieclaire4232,manager,2,10/10/2007
karen6150,CA,karen6150,Yoga Instructor and Youth Probation,20,10/10/2007
david9267,GB,david9267,Businessman,37,10/10/2007
bossini4682,FR,bossini4682,NA,8,10/10/2007
thed000d,US,thed000d,NA,194,10/10/2007
jason4126,US,jason4126,NA,1,10/10/2007
asim1904,NA,asim1904,NA,0,10/10/2007
michelle1163,NA,michelle1163,NA,16,10/11/2007
briana5182,US,briana5182,NA,4,10/11/2007
jillandbob5292,US,jillandbob5292,feng shui consultant,6,10/11/2007
kevin9454,NA,kevin9454,auditor,0,10/12/2007
tracey1672,AU,tracey1672,NA,12,10/12/2007
schott,DE,schott,European Union employee,91,10/12/2007
robert3862,US,robert3862,Sales,3,10/12/2007
melissa7340,US,melissa7340,NA,1,10/12/2007
vignesh3312,NA,vignesh3312,Researcher and Marketer,0,10/12/2007
dina2310,AE,dina2310,NA,1,10/13/2007
ellizabeth7521,CA,ellizabeth7521,retired,106,10/13/2007
debra6062,NA,debra6062,retired,0,10/13/2007
jeff6025,US,jeff6025,Realtor,3,10/13/2007
valerie1467,NA,valerie1467,NA,0,10/14/2007
tauel6150,AU,tauel6150,Teacher,16,10/14/2007
carmina8585,US,carmina8585,Graduate Student,10,10/14/2007
wyeth4875,US,wyeth4875,NA,16,10/14/2007
larry2898,US,larry2898,banker,23,10/15/2007
tyler9488,NA,tyler9488,NA,1,10/15/2007
dianna8541,NA,dianna8541,UPS,0,10/15/2007
traci3231,US,traci3231,Administrator,1,10/15/2007
tim2066,US,tim2066,Software developer,16,10/16/2007
anton9457,US,anton9457,NA,5,10/16/2007
mike3049,US,mike3049,Software Engineer,1,10/16/2007
mahrokh8576,NA,mahrokh8576,full time mom,0,10/16/2007
shauna,US,shauna,computer programmer and mom,6,10/16/2007
anirban1626,US,anirban1626,Network Engineer,13,10/16/2007
dina4953,US,dina4953,Mother,12,10/16/2007
jeff1981,NA,jeff1981,Chef,0,10/16/2007
younju,AU,younju,Student,5,10/16/2007
xiaoxiong6825,NA,xiaoxiong6825,teacher,0,10/16/2007
renate3280,SE,renate3280,ceo,8,10/16/2007
akintayo5552,BJ,akintayo5552,assistant juriste,0,10/17/2007
vcode,ES,vcode,Programmer,7,10/17/2007
erin3698,NA,erin3698,Community Life Counselor,0,10/17/2007
elisabeth8061,GB,elisabeth8061,Teacher,6,10/17/2007
deborah7116,US,deborah7116,teacher,4,10/17/2007
catherine9376,US,catherine9376,Registered Nurse,24,10/17/2007
don3386,US,don3386,Business Owner,3,10/18/2007
karry2673,NA,karry2673,self employed-trucking,0,10/18/2007
mary48286133,US,mary48286133,attorney,5,10/18/2007
praveen2465,NA,praveen2465,AML Analyst,0,10/18/2007
julaine5493,US,julaine5493,Healthcare,5,10/18/2007
marcoantonio9026,NA,marcoantonio9026,Administrador de ONG,0,10/18/2007
marjorypatricia7593,NA,marjorypatricia7593,comerciante,0,10/18/2007
edinsson5006,US,edinsson5006,carpenter,2,10/18/2007
jeffrey5859,US,jeffrey5859,Business man,89,10/19/2007
marshaandmichael8475,US,marshaandmichael8475,NA,5,10/19/2007
katherine7341,NA,katherine7341,Social Worker,6,10/19/2007
luisenrique5285,VE,luisenrique5285,Informatica,0,10/19/2007
damico,US,damico,"Designer, homemaker, scientist and artist",49,10/19/2007
bonnie1139,US,bonnie1139,accountant,1,10/19/2007
forrest7625,US,forrest7625,NA,0,10/19/2007
bob2061,US,bob2061,Realtor,2,10/19/2007
diane2881,NA,diane2881,retired,0,10/20/2007
erica3185,NA,erica3185,laboratory technician,0,10/20/2007
wendy6385,US,wendy6385,data anaylist,11,10/20/2007
rachael1600,US,rachael1600,NA,0,10/20/2007
scott4404,NA,scott4404,Creative Person,0,10/21/2007
lisa6030,US,lisa6030,NA,117,10/21/2007
jean7622,US,jean7622,Engineer,0,10/21/2007
kristy5324,US,kristy5324,NA,7,10/21/2007
ana9370,CA,ana9370,Fund Accountant,4,10/21/2007
clara8350,CA,clara8350,Manager,2,10/22/2007
bryon3990,US,bryon3990,Program Manager,8,10/22/2007
andrea8877,NA,andrea8877,NA,0,10/22/2007
nai2862,US,nai2862,Life Coach,1,10/22/2007
lindsay6277,NA,lindsay6277,writer,0,10/22/2007
gan2331,MY,gan2331,NA,49,10/22/2007
nku4774,US,nku4774,English Class,6,10/22/2007
alex5400,NA,alex5400,Business administrator,0,10/22/2007
annelies5056,NA,annelies5056,travelagent,7,10/22/2007
jenny8689,NA,jenny8689,Dancer,5,10/22/2007
benthe7337,NL,benthe7337,NA,0,10/22/2007
susan5229,CA,susan5229,retired public servant,17,10/23/2007
kelly2579,US,kelly2579,fashion stylist,8,10/23/2007
carlos9754,US,carlos9754,Real Estate Investor,1,10/23/2007
jason3010,NA,jason3010,military,1,10/23/2007
paul3722,NA,paul3722,manager hospital,0,10/23/2007
hanna1247,US,hanna1247,NA,19,10/23/2007
keleigh9997,US,keleigh9997,Toddler on the Go,5,10/23/2007
robert6321,US,robert6321,Economics,18,10/23/2007
joyce7360,US,joyce7360,house frau,28,10/23/2007
libby3974,US,libby3974,Student,19,10/23/2007
tom1383,US,tom1383,CEO,3,10/24/2007
manju3314,NA,manju3314,student,0,10/24/2007
elin2530,NA,elin2530,NA,0,10/24/2007
chris7137,US,chris7137,International Trade,8,10/24/2007
rasmus9553,US,rasmus9553,Economist,12,10/24/2007
sara4486,US,sara4486,church musician,19,10/24/2007
kelli6719,NA,kelli6719,NA,3,10/25/2007
natasha2697,US,natasha2697,Court Reporter,34,10/25/2007
ted6880,NA,ted6880,Artist,0,10/25/2007
evan2385,NA,evan2385,High School Student,0,10/25/2007
ruth2345,NA,ruth2345,NA,0,10/25/2007
danielle3614,US,danielle3614,accountant,1,10/25/2007
firstcongregational2645,US,firstcongregational2645,Christian Church,83,10/25/2007
markus8434,SE,markus8434,Developer of Human Potential,96,10/25/2007
kathleen6141,US,kathleen6141,Retired,9,10/25/2007
hannu7693,FI,hannu7693,Designer,2,10/26/2007
srinivas6375,NA,srinivas6375,DTP operator,0,10/26/2007
rh4061,NA,rh4061,"retired, forester",0,10/26/2007
bob3261,US,bob3261,engineer/writer,0,10/26/2007
alfredo6401,PE,alfredo6401,NA,0,10/26/2007
malindi7250,US,malindi7250,NA,7,10/26/2007
beverly6698,US,beverly6698,Grandmother,5,10/26/2007
david8712,US,david8712,retired,51,10/27/2007
andres5053,NA,andres5053,NA,0,10/27/2007
roxana3049,NA,roxana3049,NA,0,10/27/2007
lee6461,US,lee6461,retired,0,10/27/2007
pauletteandnathan2122,US,pauletteandnathan2122,NA,4,10/27/2007
carine4596,NA,carine4596,manager,5,10/28/2007
abdalfattah2836,NA,abdalfattah2836,translator,0,10/28/2007
bendit,DE,bendit,Self employed,21,10/28/2007
communityfor4609,US,communityfor4609,Worship community,11,10/28/2007
margaret9905,US,margaret9905,office manager,0,10/29/2007
marcia2636,US,marcia2636,Life Coach,2,10/29/2007
ginger3499,US,ginger3499,Office Manager,3,10/29/2007
nadia6215,NA,nadia6215,student,0,10/29/2007
albert3192,US,albert3192,Artist (painter),68,10/29/2007
clare7076,US,clare7076,Affordable Housing,70,12/10/2006
lee9022,US,lee9022,Lawyer,6,12/10/2006
marita2292,US,marita2292,retired Army Officer,44,12/10/2006
alicia8000,US,alicia8000,marketing manager,9,12/11/2006
sol6332,NA,sol6332,Marketing Manager,0,12/11/2006
marylouandsally8552,US,marylouandsally8552,retired teacher,2,12/11/2006
gailj3256,US,gailj3256,"Certified Financial Planner, retired",19,12/12/2006
bridget5226,US,bridget5226,NA,0,12/12/2006
hans7879,DE,hans7879,Retired,835,12/13/2006
greg4426,US,greg4426,NA,7,12/13/2006
nathanandchristy,US,nathanandchristy,computer technician and manager,29,10/30/2007
nell3937,NA,nell3937,NA,0,10/30/2007
adrian1052,NA,adrian1052,NA,0,10/30/2007
mugalu2986,NA,mugalu2986,accountant,0,10/30/2007
emilia8898,NA,emilia8898,agricultora,0,10/30/2007
craig4732,US,craig4732,NA,22,10/31/2007
maureen2357,GB,maureen2357,NA,44,10/31/2007
vargees8413,NA,vargees8413,Business development manager,0,10/31/2007
elleni9258,NA,elleni9258,Retired,8,11/1/2007
DarinGreyerbiehl,NA,daringreyerbiehl,Learner,3,11/1/2007
erin4988,NA,erin4988,student,0,11/1/2007
allen1372,NA,allen1372,physician,9,11/1/2007
steven4754,US,steven4754,NA,1,11/2/2007
jeroly1637,US,jeroly1637,teacher,9,11/2/2007
kathie7884,US,kathie7884,NA,3,11/2/2007
meredith2273,NA,meredith2273,Advertising,2,11/2/2007
yuliya7450,US,yuliya7450,NA,3,11/3/2007
irene4614,US,irene4614,Research (Educational),5,11/4/2007
ben4645,NA,ben4645,Artistic Director/Performer,2,11/4/2007
sally7230,US,sally7230,Teacher,3,11/5/2007
val1967,NA,val1967,public servant,0,11/5/2007
stanley5140,NA,stanley5140,social  worker,0,11/5/2007
michael21409721,NA,michael21409721,Fundraising Professional,0,11/5/2007
olivier3292,FR,olivier3292,NA,4,11/5/2007
carolyn7435,US,carolyn7435,NA,5,11/5/2007
nino2846,NA,nino2846,teacher,0,11/5/2007
stan5004,US,stan5004,Physician,11,11/6/2007
erin5467,NA,erin5467,community organizer,7,11/6/2007
craig2104,NA,craig2104,"Adult & Community Services, Suffolk, England",2,11/6/2007
joao5388,NA,joao5388,Creative/Copywriter,0,11/6/2007
helder,PT,helder,architect,30,11/6/2007
sanuthi3967,NA,sanuthi3967,NA,0,11/6/2007
maryjoandtom6655,US,maryjoandtom6655,retired teacher& engineer,15,11/6/2007
alexis6182,FR,alexis6182,NA,55,11/6/2007
eric7172,NA,eric7172,Chief Financial Officer,0,11/6/2007
peter5749,DK,peter5749,Office Manager,10,11/6/2007
michael6851,US,michael6851,Consultant,4,11/6/2007
clare7842,NA,clare7842,journalist,2,11/7/2007
krupa8443,US,krupa8443,NA,2,11/7/2007
laura7313,CA,laura7313,Homemaker,10,11/7/2007
jodi6589,CA,jodi6589,Internet-Based Songwriting Resource,3,11/7/2007
therarickfamily9158,NA,therarickfamily9158,Family,0,11/7/2007
martha7874,US,martha7874,Engineer,25,11/8/2007
stephen1454,US,stephen1454,lawyer,10,11/8/2007
elaine2658,US,elaine2658,NA,9,11/8/2007
charles1662,US,charles1662,consultant,7,11/8/2007
annmarie3949,US,annmarie3949,NA,56,11/8/2007
robert3954,US,robert3954,retired chemist,5,11/9/2007
shalabh4440,NA,shalabh4440,oilfield (rigs),0,11/9/2007
phebe3148,NA,phebe3148,nurse,0,11/9/2007
bill5147,US,bill5147,NA,1,11/9/2007
sandra4534,US,sandra4534,Registered Nurse,0,11/10/2007
don9858,US,don9858,NA,0,11/10/2007
danica8396,CA,danica8396,student,1,11/10/2007
colin3904,US,colin3904,Architect,7,11/11/2007
nana2996,NA,nana2996,DESINGER,0,11/11/2007
kristie0521,US,kristie0521,consumer promotions manager,16,11/11/2007
parisassoc,CA,parisassoc,Creative Director,6,11/11/2007
humza7266,US,humza7266,NA,8,11/12/2007
hilary4037,US,hilary4037,NA,19,11/12/2007
jorge7876,PT,jorge7876,NA,4,11/12/2007
dwight6306,US,dwight6306,Bounce House Rentals,1,11/12/2007
liz8681,AU,liz8681,NA,6,11/12/2007
erick1057,NA,erick1057,Juvenile Counselor,0,11/12/2007
renita9631,US,renita9631,retired,4,11/13/2007
carlos1766,CA,carlos1766,NA,3,11/13/2007
henry6721,CA,henry6721,Retired,193,11/13/2007
annalee4339,NA,annalee4339,Historian/gardener,11,11/13/2007
brooke8005,US,brooke8005,University Student,2,11/13/2007
dave2734,NA,dave2734,Entrepreneur,0,11/13/2007
katie6206,NA,katie6206,NA,0,11/13/2007
maeve7336,NA,maeve7336,NA,1,11/13/2007
domingas7275,NA,domingas7275,director,2,11/13/2007
reyvax,FR,reyvax,NA,1,11/14/2007
christy3608,NA,christy3608,Student,0,11/14/2007
margot5823,US,margot5823,student,6,11/14/2007
tena3170,US,tena3170,Project Manager,6,11/14/2007
michael2926,US,michael2926,geek,13,11/14/2007
muriel3040,CA,muriel3040,website designer,24,11/15/2007
carol6050,US,carol6050, retired  librarian,48,11/15/2007
janroger6030,NO,janroger6030,NA,21,11/15/2007
permorten4924,NO,permorten4924,Adviser,1,11/15/2007
gunhild2366,NO,gunhild2366,NA,15,11/15/2007
norbo3432,NO,norbo3432,Student,22,11/15/2007
andre2567,NA,andre2567,NA,45,11/15/2007
chinniganesh,US,chinniganesh,IT Professional,28,11/15/2007
morten7654,NA,morten7654,NA,0,11/15/2007
espen2559,NO,espen2559,Norwegian Army,6,11/15/2007
ingvild7523,NA,ingvild7523,PhD,2,11/15/2007
helge3681,NO,helge3681,physics student,16,11/15/2007
mike8713,US,mike8713,Businessman,35,11/15/2007
anette5527,NO,anette5527,Project Manager,17,11/15/2007
laura5319,US,laura5319,NA,7,11/15/2007
kjell9832,NA,kjell9832,Forest registrator,0,11/15/2007
alyson9699,US,alyson9699,NA,7,11/16/2007
liis4824,CA,liis4824, Promote diversity in fashion,40,11/16/2007
sidsel6030,NO,sidsel6030,Lifecoach,20,11/16/2007
ketil1800,NA,ketil1800,Restaurant manager,5,11/16/2007
rebecca1207,GB,rebecca1207,NA,12,11/16/2007
jose5823,VE,jose5823,retire,19,11/16/2007
melissa7292,US,melissa7292,NA,4,11/16/2007
serioussenior,HU,serioussenior,IT,3,11/16/2007
john7825,US,john7825,Professor,3,11/16/2007
rebecca9796,NA,rebecca9796,Insurance,0,11/17/2007
don2906,CA,don2906,teacher,332,11/17/2007
katy4713,NA,katy4713,Consultant,1,11/17/2007
lavaughn8899,US,lavaughn8899,Retired R.N.,9,11/17/2007
johnandbette8601,US,johnandbette8601,social services,36,11/17/2007
nicole7443,US,nicole7443,student/tutor,5,11/17/2007
stefano4409,NA,stefano4409,NA,0,11/18/2007
steve8695,US,steve8695,NA,13,11/18/2007
bill3366,US,bill3366,NA,7,11/18/2007
stuart1416,NA,stuart1416,Computer Consultant,7,11/18/2007
amanda8821,US,amanda8821,Domestic Violence Program Coordinator,5,11/18/2007
aldo6172,NA,aldo6172,employee,0,11/18/2007
chris5889,NA,chris5889,cgi,1,11/18/2007
hank8086,US,hank8086,kid,36,11/18/2007
mari2428,NO,mari2428,Nurse,14,11/18/2007
amy2460,NA,amy2460,arts management consultant,3,11/18/2007
garrett9168,US,garrett9168,Communications,6,11/19/2007
jc2361,US,jc2361,business owner,25,11/19/2007
albert7703,US,albert7703,REALTOR,4,11/19/2007
amy3104,NA,amy3104,gypsy,0,11/19/2007
margaret4081,US,margaret4081,NA,0,11/19/2007
rosaline5999,NA,rosaline5999,being baby,0,11/19/2007
amy4244,US,amy4244,NA,4,11/19/2007
thomas5597,NA,thomas5597,artist,0,11/19/2007
pa8944,NA,pa8944,NA,0,11/19/2007
robert5016,US,robert5016,partner,1,11/20/2007
johnandjenni2325,US,johnandjenni2325,actors,1,11/20/2007
barbara4212,US,barbara4212,Teacher/Sports PR,5,11/20/2007
anthony8871,GB,anthony8871,NA,0,11/20/2007
trond1089,NA,trond1089,Art Director,0,11/20/2007
astrid9378,NA,astrid9378,NA,2,11/20/2007
lynn7572,CA,lynn7572,Publisher,23,11/20/2007
