"","institution","city","state","yearly","tuition_in","tuition_out","region"
"88","Florida Atlantic University","Boca Raton","FL",19131,4790,17234,"NA"
"89","Florida International University","Miami","FL",18426,6496,18895,"NA"
"90","Florida State University","Tallahassee","FL",20774,6507,21673,"NA"
"91","University of Florida","Gainesville","FL",20456,6263,28541,"NA"
"92","University of North Florida","Jacksonville","FL",19415,6353,20756,"NA"
"93","University of South Florida-Main Campus","Tampa","FL",19299,6410,17324,"NA"
"94","The University of West Florida","Pensacola","FL",18158,6357,19238,"NA"
"95","Florida Gulf Coast University","Fort Myers","FL",18097,6118,25440,"NA"
"96","University of South Florida-St Petersburg","St. Petersburg","FL",18821,5820,16736,"NA"
"97","Albany State University","Albany","GA",19025,6024,18226,"NA"
"98","Armstrong Atlantic State University","Savannah","GA",19802,5085,14847,"NA"
"99","Clayton State University","Morrow","GA",17487,5153,14915,"NA"
"100","Columbus State University","Columbus","GA",17029,5514,15556,"NA"
"101","Fort Valley State University","Fort Valley","GA",19801,6438,18640,"NA"
"102","Georgia Institute of Technology-Main Campus","Atlanta","GA",21980,10650,29954,"NA"
"103","Georgia Southwestern State University","Americus","GA",17839,5035,14797,"NA"
"104","Georgia College and State University","Milledgeville","GA",23052,8790,26690,"NA"
"105","Georgia Southern University","Statesboro","GA",21513,6071,16137,"NA"
"106","Georgia State University","Atlanta","GA",23124,8368,22936,"NA"
"107","University of Georgia","Athens","GA",21162,10262,28472,"NA"
"108","Kennesaw State University","Kennesaw","GA",20630,5818,15898,"NA"
"109","Savannah State University","Savannah","GA",15531,5415,15176,"NA"
"110","Southern Polytechnic State University","Marietta","GA",16546,5732,16760,"NA"
"111","Valdosta State University","Valdosta","GA",20958,5889,16814,"NA"
"112","University of West Georgia","Carrollton","GA",18879,5837,15903,"NA"
"113","Georgia Regents University","Augusta","GA",7715,3276,9723,"NA"
"114","University of North Georgia","Dahlonega","GA",16525,4219,12133,"NA"
"115","University of Guam","Mangilao","GU",13026,5098,14098,"NA"
"116","University of Hawaii at Hilo","Hilo","HI",15284,6536,18296,"NA"
"117","University of Hawaii at Manoa","Honolulu","HI",18491,9904,27472,"NA"
"118","Iowa State University","Ames","IA",18820,7726,20278,"NA"
"119","University of Iowa","Iowa City","IA",21832,8061,26931,"NA"
"120","University of Northern Iowa","Cedar Falls","IA",19233,7685,17181,"NA"
"121","Boise State University","Boise","ID",18227,6292,18892,"NA"
"122","Idaho State University","Pocatello","ID",18077,6344,18676,"NA"
"123","University of Idaho","Moscow","ID",19700,6524,19600,"NA"
"124","Chicago State University","Chicago","IL",18472,9032,15424,"NA"
"125","Eastern Illinois University","Charleston","IL",23346,11144,28124,"NA"
"126","University of Illinois at Chicago","Chicago","IL",25248,13410,25800,"NA"
"127","University of Illinois at Urbana-Champaign","Champaign","IL",28564,14750,29132,"NA"
"128","Illinois State University","Normal","IL",25416,13010,20450,"NA"
"129","Northern Illinois University","Dekalb","IL",27621,12976,22072,"NA"
"130","Northeastern Illinois University","Chicago","IL",22273,8460,15348,"NA"
"131","University of Illinois at Springfield","Springfield","IL",21385,9178,16498,"NA"
"132","Southern Illinois University-Carbondale","Carbondale","IL",24234,12093,24716,"NA"
"133","Southern Illinois University-Edwardsville","Edwardsville","IL",21137,9666,20610,"NA"
"134","Western Illinois University","Macomb","IL",24375,11767,15969,"NA"
"135","Ball State University","Muncie","IN",21101,9160,24124,"NA"
"136","Indiana University-Purdue University-Fort Wayne","Fort Wayne","IN",18837,7013,16845,"NA"
"137","Indiana University-Purdue University-Indianapolis","Indianapolis","IN",20846,8756,29571,"NA"
"138","University of Southern Indiana","Evansville","IN",17996,6698,15553,"NA"
"139","Indiana State University","Terre Haute","IN",19549,8256,17992,"NA"
"140","Indiana University-Kokomo","Kokomo","IN",15874,6675,17778,"NA"
"141","Indiana University-South Bend","South Bend","IN",17377,6816,17778,"NA"
"142","Indiana University-Bloomington","Bloomington","IN",23043,10209,32350,"NA"
"143","Indiana University-Northwest","Gary","IN",18092,6739,17778,"NA"
"144","Indiana University-Southeast","New Albany","IN",16753,6700,17778,"NA"
"145","Indiana University-East","Richmond","IN",15334,6639,17778,"NA"
"146","Purdue University-Calumet Campus","Hammond","IN",16727,6624,14966,"NA"
"147","Purdue University-North Central Campus","Westville","IN",13713,7186,17105,"NA"
"148","Purdue University-Main Campus","West Lafayette","IN",23109,9992,28794,"NA"
"149","Emporia State University","Emporia","KS",15612,5614,17388,"NA"
"150","Fort Hays State University","Hays","KS",15395,4358,12821,"NA"
"151","University of Kansas","Lawrence","KS",21971,10107,24873,"NA"
"152","Kansas State University","Manhattan","KS",20140,8585,21530,"NA"
"153","Pittsburg State University","Pittsburg","KS",15211,5906,15786,"NA"
"154","Washburn University","Topeka","KS",16176,5774,12926,"NA"
"155","Wichita State University","Wichita","KS",14764,6926,14960,"NA"
"156","Eastern Kentucky University","Richmond","KY",17801,7536,16608,"NA"
"157","Kentucky State University","Frankfort","KY",18387,6276,15072,"NA"
"158","University of Kentucky","Lexington","KY",22420,10110,21192,"NA"
"159","University of Louisville","Louisville","KY",21922,9946,23834,"NA"
"160","Morehead State University","Morehead","KY",17805,7498,18746,"NA"
"161","Murray State University","Murray","KY",16397,7044,19164,"NA"
"162","Northern Kentucky University","Highland Heights","KY",14603,8376,16464,"NA"
"163","Western Kentucky University","Bowling Green","KY",16538,8722,22248,"NA"
"164","Grambling State University","Grambling","LA",20881,5950,15118,"NA"
"165","Louisiana State University and Agricultural & Mechanical College","Baton Rouge","LA",20422,7873,25790,"NA"
"166","Louisiana State University-Shreveport","Shreveport","LA",15066,5606,5606,"NA"
"167","Louisiana Tech University","Ruston","LA",16983,7302,18441,"NA"
"168","McNeese State University","Lake Charles","LA",14823,5701,16603,"NA"
"169","University of New Orleans","New Orleans","LA",16212,6578,19068,"NA"
"170","Nicholls State University","Thibodaux","LA",16071,6468,15959,"NA"
"171","University of Louisiana at Monroe","Monroe","LA",14925,6318,16890,"NA"
"172","Northwestern State University of Louisiana","Natchitoches","LA",16605,6207,16327,"NA"
"173","Southeastern Louisiana University","Hammond","LA",15729,5715,17734,"NA"
"174","Southern University and A & M College","Baton Rouge","LA",17928,6630,8274,"NA"
"175","Southern University at New Orleans","New Orleans","LA",10889,4911,4911,"NA"
"176","University of Louisiana at Lafayette","Lafayette","LA",15342,6192,15742,"NA"
"177","Bridgewater State University","Bridgewater","MA",19303,8053,14193,"NA"
"178","Fitchburg State University","Fitchburg","MA",17686,8985,15065,"NA"
"179","Framingham State University","Framingham","MA",21402,8080,14160,"NA"
"180","University of Massachusetts-Lowell","Lowell","MA",22861,12097,26146,"NA"
"181","University of Massachusetts-Amherst","Amherst","MA",25665,13443,28159,"NA"
"182","University of Massachusetts-Boston","Boston","MA",19763,11966,27430,"NA"
"183","Massachusetts College of Art and Design","Boston","MA",25384,10400,28600,"NA"
"184","Massachusetts Maritime Academy","Buzzards Bay","MA",22420,7127,22033,"NA"
"185","Massachusetts College of Liberal Arts","North Adams","MA",20025,8525,17470,"NA"
"186","Salem State University","Salem","MA",20601,8130,14270,"NA"
"187","University of Massachusetts-Dartmouth","North Dartmouth","MA",23763,11681,24156,"NA"
"188","Westfield State University","Westfield","MA",19468,8694,14774,"NA"
"189","Worcester State University","Worcester","MA",18494,8157,14237,"NA"
"190","University of Baltimore","Baltimore","MD",24835,7838,16288,"NA"
"191","Bowie State University","Bowie","MD",18581,6971,17538,"NA"
"192","Coppin State University","Baltimore","MD",16147,6252,11186,"NA"
"193","Frostburg State University","Frostburg","MD",19454,7728,18376,"NA"
"194","University of Maryland-University College","Adelphi","MD",13222,6552,12336,"NA"
"195","University of Maryland-Baltimore County","Baltimore","MD",22024,10068,21642,"NA"
"196","University of Maryland-College Park","College Park","MD",22933,9162,28348,"NA"
"197","University of Maryland Eastern Shore","Princess Anne","MD",20587,6998,15504,"NA"
"198","Morgan State University","Baltimore","MD",20108,7218,16632,"NA"
"199","Salisbury University","Salisbury","MD",20916,8128,16474,"NA"
"200","St Mary's College of Maryland","St. Mary's City","MD",29174,14864,28664,"NA"
"201","Towson University","Towson","MD",21596,8342,20020,"NA"
"202","University of Maine at Farmington","Farmington","ME",20415,9167,18255,"NA"
"203","University of Maine","Orono","ME",22461,10600,27970,"NA"
"204","Maine Maritime Academy","Castine","ME",23673,11950,22770,"NA"
"205","University of Southern Maine","Portland","ME",22290,8920,21280,"NA"
"206","Central Michigan University","Mount Pleasant","MI",21523,11220,23670,"NA"
"207","Eastern Michigan University","Ypsilanti","MI",18905,9364,24909,"NA"
"208","Ferris State University","Big Rapids","MI",21498,10466,16722,"NA"
"209","Grand Valley State University","Allendale","MI",21512,10716,15388,"NA"
"210","Lake Superior State University","Sault Ste Marie","MI",19571,9960,14880,"NA"
"211","University of Michigan-Ann Arbor","Ann Arbor","MI",25760,13142,40392,"NA"
"212","Michigan State University","East Lansing","MI",23740,12862,33750,"NA"
"213","Michigan Technological University","Houghton","MI",24724,13728,28608,"NA"
"214","University of Michigan-Dearborn","Dearborn","MI",15831,10614,23124,"NA"
"215","University of Michigan-Flint","Flint","MI",16731,9356,18238,"NA"
"216","Northern Michigan University","Marquette","MI",18466,9037,14113,"NA"
"217","Oakland University","Rochester Hills","MI",19198,10613,23873,"NA"
"218","Saginaw Valley State University","University Center","MI",17876,8423,19776,"NA"
"219","Wayne State University","Detroit","MI",20199,11094,23714,"NA"
"220","Western Michigan University","Kalamazoo","MI",22483,10355,24109,"NA"
"221","Bemidji State University","Bemidji","MN",18166,8124,8124,"NA"
"222","Minnesota State University-Mankato","Mankato","MN",17578,7557,15036,"NA"
"223","Metropolitan State University","Saint Paul","MN",18170,6642,13227,"NA"
"224","University of Minnesota-Twin Cities","Minneapolis","MN",24278,13555,19805,"NA"
"225","University of Minnesota-Duluth","Duluth","MN",22796,12815,16480,"NA"
"226","Minnesota State University-Moorhead","Moorhead","MN",18028,7816,14714,"NA"
"227","Saint Cloud State University","Saint Cloud","MN",17892,7514,15156,"NA"
"228","Southwest Minnesota State University","Marshall","MN",19109,8074,8074,"NA"
"229","Winona State University","Winona","MN",20449,8730,14230,"NA"
"230","University of Central Missouri","Warrensburg","MO",18355,7265,13659,"NA"
"231","Lincoln University","Jefferson City","MO",14906,6838,13228,"NA"
"232","Missouri Southern State University","Joplin","MO",14143,5376,10225,"NA"
"233","Missouri Western State University","Saint Joseph","MO",15242,6400,12006,"NA"
"234","University of Missouri-Columbia","Columbia","MO",22387,9415,23764,"NA"
"235","University of Missouri-Kansas City","Kansas City","MO",23437,9456,22203,"NA"
"236","Missouri University of Science and Technology","Rolla","MO",22102,9510,24675,"NA"
"237","University of Missouri-St Louis","Saint Louis","MO",22474,9474,24429,"NA"
"238","Truman State University","Kirksville","MO",19689,7368,13240,"NA"
"239","Northwest Missouri State University","Maryville","MO",17005,6390,11391,"NA"
"240","Southeast Missouri State University","Cape Girardeau","MO",17093,6863,12195,"NA"
"241","Missouri State University-Springfield","Springfield","MO",19117,6908,13388,"NA"
"242","Alcorn State University","Alcorn State","MS",20330,6108,6108,"NA"
"243","Delta State University","Cleveland","MS",17749,6562,6562,"NA"
"244","Jackson State University","Jackson","MS",18724,6348,15552,"NA"
"245","University of Mississippi","University","MS",21526,6760,17728,"NA"
"246","Mississippi University for Women","Columbus","MS",15935,5640,15360,"NA"
"247","Mississippi Valley State University","Itta Bena","MS",17758,5916,5916,"NA"
"248","Mississippi State University","Mississippi State","MS",20796,6772,16960,"NA"
"249","University of Southern Mississippi","Hattiesburg","MS",18781,6744,15024,"NA"
"250","Montana State University-Billings","Billings","MT",15753,5745,17088,"NA"
"251","Montana Tech of the University of Montana","Butte","MT",16434,6464,18606,"NA"
"252","Montana State University","Bozeman","MT",18486,6752,20717,"NA"
"253","The University of Montana","Missoula","MT",17440,6045,21719,"NA"
"254","Montana State University-Northern","Havre","MT",17290,5480,17312,"NA"
"255","Appalachian State University","Boone","NC",17780,6462,18670,"NA"
"256","East Carolina University","Greenville","NC",19851,6143,20256,"NA"
"257","Elizabeth City State University","Elizabeth City","NC",10620,4429,15286,"NA"
"258","Fayetteville State University","Fayetteville","NC",13188,4605,15401,"NA"
"259","North Carolina A & T State University","Greensboro","NC",15313,5422,16503,"NA"
"260","University of North Carolina at Asheville","Asheville","NC",17468,6241,20063,"NA"
"261","University of North Carolina at Chapel Hill","Chapel Hill","NC",23069,8340,30122,"NA"
"262","University of North Carolina at Charlotte","Charlotte","NC",17767,6107,18636,"NA"
"263","University of North Carolina at Greensboro","Greensboro","NC",17362,6382,20180,"NA"
"264","North Carolina Central University","Durham","NC",17873,5526,16099,"NA"
"265","University of North Carolina School of the Arts","Winston-Salem","NC",19666,8271,21416,"NA"
"266","North Carolina State University at Raleigh","Raleigh","NC",20511,8206,21661,"NA"
