"","institution","city","state","yearly","tuition_in","tuition_out","region"
"383","Pennsylvania State University-Main Campus","University Park","PA",31625,16992,29566,"NA"
"384","Pennsylvania State University-Penn State Abington","Abington","PA",19611,13608,20284,"NA"
"385","Pennsylvania State University-Penn State York","York","PA",19761,13602,20278,"NA"
"386","University of Pittsburgh-Pittsburgh Campus","Pittsburgh","PA",30410,17100,27106,"NA"
"387","Shippensburg University of Pennsylvania","Shippensburg","PA",20840,9448,17916,"NA"
"388","Slippery Rock University of Pennsylvania","Slippery Rock","PA",21303,9027,12529,"NA"
"389","Temple University","Philadelphia","PA",27247,14096,24122,"NA"
"390","West Chester University of Pennsylvania","West Chester","PA",24997,8850,18974,"NA"
"391","Pennsylvania State University-World Campus","University Park","PA",25441,13202,13202,"NA"
"392","Puerto Rico Conservatory of Music","San Juan","PR",12004,3370,3370,"NA"
"393","University of Puerto Rico-Mayaguez","Mayaguez","PR",14726,2019,4041,"NA"
"394","University of Puerto Rico-Rio Piedras","San Juan","PR",8020,2082,4104,"NA"
"395","Rhode Island College","Providence","RI",14858,7602,18300,"NA"
"396","University of Rhode Island","Kingston","RI",26262,12450,28016,"NA"
"397","College of Charleston","Charleston","SC",25086,10626,27090,"NA"
"398","Citadel Military College of South Carolina","Charleston","SC",24827,10838,29639,"NA"
"399","Clemson University","Clemson","SC",27944,13054,30488,"NA"
"400","Francis Marion University","Florence","SC",19965,9386,18364,"NA"
"401","Lander University","Greenwood","SC",21628,10100,19136,"NA"
"402","University of South Carolina-Aiken","Aiken","SC",18466,9308,18340,"NA"
"403","University of South Carolina-Columbia","Columbia","SC",23685,10816,28528,"NA"
"404","Coastal Carolina University","Conway","SC",21601,9760,22770,"NA"
"405","South Carolina State University","Orangeburg","SC",25265,9776,18910,"NA"
"406","University of South Carolina-Upstate","Spartanburg","SC",20848,10198,20226,"NA"
"407","Winthrop University","Rock Hill","SC",24595,13670,26240,"NA"
"408","Black Hills State University","Spearfish","SD",15906,7617,9617,"NA"
"409","Dakota State University","Madison","SD",17201,7506,9506,"NA"
"410","Northern State University","Aberdeen","SD",17334,7563,9562,"NA"
"411","South Dakota School of Mines and Technology","Rapid City","SD",20234,10040,12870,"NA"
"412","South Dakota State University","Brookings","SD",18547,7713,9795,"NA"
"413","University of South Dakota","Vermillion","SD",18843,8022,10104,"NA"
"414","Austin Peay State University","Clarksville","TN",18852,6876,21372,"NA"
"415","East Tennessee State University","Johnson City","TN",22485,7249,22561,"NA"
"416","University of Memphis","Memphis","TN",20899,8312,23024,"NA"
"417","Middle Tennessee State University","Murfreesboro","TN",17501,7546,23002,"NA"
"418","The University of Tennessee-Chattanooga","Chattanooga","TN",19192,7554,22760,"NA"
"419","The University of Tennessee-Knoxville","Knoxville","TN",24746,11194,29684,"NA"
"420","The University of Tennessee-Martin","Martin","TN",16227,7507,21451,"NA"
"421","Tennessee State University","Nashville","TN",16903,6498,19218,"NA"
"422","Tennessee Technological University","Cookeville","TN",19900,7063,22063,"NA"
"423","Angelo State University","San Angelo","TX",19511,6559,15055,"NA"
"424","Texas A & M University-Corpus Christi","Corpus Christi","TX",17782,7172,15668,"NA"
"425","Texas A & M University-Texarkana","Texarkana","TX",14147,5578,14002,"NA"
"426","Texas A & M University-Commerce","Commerce","TX",18487,6583,17203,"NA"
"427","University of Houston-Downtown","Houston","TX",18879,5238,13734,"NA"
"428","University of Houston-Victoria","Victoria","TX",17508,6248,16868,"NA"
"429","University of Houston","Houston","TX",22215,8401,16897,"NA"
"430","Lamar University","Beaumont","TX",21142,7429,15925,"NA"
"431","Texas A & M International University","Laredo","TX",15272,5818,14314,"NA"
"432","Midwestern State University","Wichita Falls","TX",15704,7665,9615,"NA"
"433","University of North Texas","Denton","TX",18593,8745,17241,"NA"
"434","The University of Texas-Pan American","Edinburg","TX",11601,5173,13669,"NA"
"435","The University of Texas at Brownsville","Brownsville","TX",13651,5372,14834,"NA"
"436","Prairie View A & M University","Prairie View","TX",16782,6764,15350,"NA"
"437","Sam Houston State University","Huntsville","TX",19173,7022,15518,"NA"
"438","Stephen F Austin State University","Nacogdoches","TX",21909,8412,19032,"NA"
"439","Texas State University","San Marcos","TX",19721,8060,17264,"NA"
"440","Sul Ross State University","Alpine","TX",17254,5436,13932,"NA"
"441","Tarleton State University","Stephenville","TX",17709,5856,14352,"NA"
"442","Texas A & M University-Kingsville","Kingsville","TX",19721,6940,17560,"NA"
"443","Texas A & M University-College Station","College Station","TX",20819,8506,25126,"NA"
"444","The University of Texas at Arlington","Arlington","TX",21420,8878,17374,"NA"
"445","The University of Texas at Austin","Austin","TX",25176,9798,33842,"NA"
"446","The University of Texas at Dallas","Richardson","TX",22381,10864,26038,"NA"
"447","The University of Texas at El Paso","El Paso","TX",15272,7255,19175,"NA"
"448","The University of Texas at Tyler","Tyler","TX",19366,7222,17842,"NA"
"449","The University of Texas of the Permian Basin","Odessa","TX",14292,5250,13674,"NA"
"450","The University of Texas at San Antonio","San Antonio","TX",18936,7457,16031,"NA"
"451","Texas Southern University","Houston","TX",22311,7946,18566,"NA"
"452","Texas Tech University","Lubbock","TX",20900,7517,16013,"NA"
"453","Texas Woman's University","Denton","TX",16345,7339,17965,"NA"
"454","West Texas A & M University","Canyon","TX",17553,6500,7220,"NA"
"455","Southern Utah University","Cedar City","UT",18042,5924,17902,"NA"
"456","Utah State University","Logan","UT",16020,6030,17550,"NA"
"457","Utah Valley University","Orem","UT",14213,5086,14256,"NA"
"458","University of Utah","Salt Lake City","UT",19048,7457,23736,"NA"
"459","Weber State University","Ogden","UT",13204,4990,13311,"NA"
"460","College of William and Mary","Williamsburg","VA",25938,15463,38440,"NA"
"461","Christopher Newport University","Newport News","VA",24696,11092,20992,"NA"
"462","George Mason University","Fairfax","VA",22332,9908,28592,"NA"
"463","James Madison University","Harrisonburg","VA",21980,9176,23654,"NA"
"464","Longwood University","Farmville","VA",23707,11340,24210,"NA"
"465","University of Mary Washington","Fredericksburg","VA",21862,9720,22590,"NA"
"466","Norfolk State University","Norfolk","VA",18837,7126,20596,"NA"
"467","Old Dominion University","Norfolk","VA",20531,8550,24210,"NA"
"468","Radford University","Radford","VA",19987,8976,21141,"NA"
"469","Virginia Polytechnic Institute and State University","Blacksburg","VA",25513,11455,27211,"NA"
"470","Virginia Commonwealth University","Richmond","VA",25291,12002,29473,"NA"
"471","University of Virginia-Main Campus","Charlottesville","VA",25255,12668,40054,"NA"
"472","Virginia State University","Petersburg","VA",20075,7784,17192,"NA"
"473","University of the Virgin Islands","Charlotte Amalie","VI",16261,4794,13174,"NA"
"474","Castleton State College","Castleton","VT",20799,10286,24014,"NA"
"475","Johnson State College","Johnson","VT",20404,10286,21950,"NA"
"476","Lyndon State College","Lyndonville","VT",19178,10286,20942,"NA"
"477","University of Vermont","Burlington","VT",27788,15718,36646,"NA"
"478","Central Washington University","Ellensburg","WA",21401,8976,20886,"NA"
"479","Eastern Washington University","Cheney","WA",19831,7961,19612,"NA"
"480","The Evergreen State College","Olympia","WA",21433,8574,20661,"NA"
"481","Washington State University","Pullman","WA",26292,12327,25409,"NA"
"482","University of Washington-Seattle Campus","Seattle","WA",24606,12397,31971,"NA"
"483","Western Washington University","Bellingham","WA",22009,8863,19752,"NA"
"484","University of Washington-Bothell Campus","Bothell","WA",22800,11911,31485,"NA"
"485","University of Washington-Tacoma Campus","Tacoma","WA",22185,11902,31476,"NA"
"486","University of Wisconsin-Whitewater","Whitewater","WI",16107,7578,15151,"NA"
"487","University of Wisconsin-Eau Claire","Eau Claire","WI",18066,8710,16283,"NA"
"488","University of Wisconsin-Green Bay","Green Bay","WI",16878,7676,15249,"NA"
"489","University of Wisconsin-La Crosse","La Crosse","WI",17896,8769,16342,"NA"
"490","University of Wisconsin-Oshkosh","Oshkosh","WI",16935,7401,14974,"NA"
"491","University of Wisconsin-Parkside","Kenosha","WI",15218,7316,14889,"NA"
"492","University of Wisconsin-Stout","Menomonie","WI",18192,8968,16714,"NA"
"493","University of Wisconsin-Superior","Superior","WI",16953,7946,15519,"NA"
"494","University of Wisconsin-Madison","Madison","WI",23718,10403,26653,"NA"
"495","University of Wisconsin-Milwaukee","Milwaukee","WI",21203,9300,19029,"NA"
"496","University of Wisconsin-Platteville","Platteville","WI",16824,7484,15057,"NA"
"497","University of Wisconsin-River Falls","River Falls","WI",16682,7720,15293,"NA"
"498","University of Wisconsin-Stevens Point","Stevens Point","WI",16427,7577,15150,"NA"
"499","Concord University","Athens","WV",17146,6160,13490,"NA"
"500","Fairmont State University","Fairmont","WV",14710,5824,12288,"NA"
"501","Marshall University","Huntington","WV",16361,6216,14446,"NA"
"502","Shepherd University","Shepherdstown","WV",14846,6256,15840,"NA"
"503","West Virginia State University","Institute","WV",13756,5932,13864,"NA"
"504","West Liberty University","West Liberty","WV",18406,6226,13540,"NA"
"505","West Virginia University","Morgantown","WV",16898,6456,19632,"NA"
"506","University of Wyoming","Laramie","WY",17652,4404,14124,"NA"
