"","INSTNM","CITY","STABBR","PREDDEG","HIGHDEG","CONTROL","region","UGDS","UG","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","place"
"261","William Paterson University of New Jersey","Wayne","NJ",3,4,1,"EAST",9930,NA,21990,11918,19458,"West"
"262","Eastern New Mexico University-Main Campus","Portales","NM",3,4,1,"WEST",3767,NA,15021,4558,10069,"West"
"263","New Mexico Highlands University","Las Vegas","NM",3,4,1,"WEST",2221,NA,15611,4000,6382,"West"
"264","New Mexico Institute of Mining and Technology","Socorro","NM",3,4,1,"WEST",1490,NA,17600,5714,17073,"West"
"265","University of New Mexico-Main Campus","Albuquerque","NM",3,4,1,"WEST",20847,NA,16822,6846,20688,"West"
"266","New Mexico State University-Main Campus","Las Cruces","NM",3,4,1,"WEST",12886,NA,17290,6220,19644,"West"
"267","Western New Mexico University","Silver City","NM",3,4,1,"WEST",2166,NA,15121,4723,12763,"West"
"268","CUNY Bernard M Baruch College","New York","NY",3,4,1,"EAST",13698,NA,15112,6210,12720,"West"
"269","CUNY Brooklyn College","Brooklyn","NY",3,4,1,"EAST",12625,NA,13903,6184,12694,"West"
"270","College of Staten Island CUNY","Staten Island","NY",3,4,1,"EAST",12974,NA,14298,6158,12668,"West"
"271","CUNY City College","New York","NY",3,4,1,"EAST",11820,NA,14041,6089,12599,"West"
"272","CUNY Hunter College","New York","NY",3,4,1,"EAST",15697,NA,14478,6129,12639,"West"
"273","CUNY John Jay College of Criminal Justice","New York","NY",3,4,1,"EAST",12838,NA,13308,6059,12569,"West"
"274","CUNY Lehman College","Bronx","NY",3,4,1,"EAST",9020,NA,12957,6108,12618,"West"
"275","CUNY Queens College","Flushing","NY",3,4,1,"EAST",14424,NA,13676,6207,12717,"West"
"276","CUNY York College","Jamaica","NY",3,4,1,"EAST",7361,NA,13967,6096,12606,"West"
"277","SUNY at Albany","Albany","NY",3,4,1,"EAST",12542,NA,21249,8040,18360,"West"
"278","SUNY at Binghamton","Vestal","NY",3,4,1,"EAST",12940,NA,21966,8144,18464,"West"
"279","University at Buffalo","Buffalo","NY",3,4,1,"EAST",19365,NA,20885,8211,20151,"West"
"280","Stony Brook University","Stony Brook","NY",3,4,1,"EAST",15724,NA,20611,7995,19935,"West"
"281","SUNY College of Environmental Science and Forestry","Syracuse","NY",3,4,1,"EAST",1694,NA,22550,7033,16483,"West"
"282","SUNY Institute of Technology at Utica-Rome","Utica","NY",3,4,1,"EAST",1714,NA,19843,7090,16540,"West"
"283","SUNY College at Brockport","Brockport","NY",3,4,1,"EAST",7040,NA,19511,7222,16672,"West"
"284","Buffalo State SUNY","Buffalo","NY",3,4,1,"EAST",9190,NA,18088,7022,16382,"West"
"285","SUNY College at Cortland","Cortland","NY",3,4,1,"EAST",6394,NA,21840,7327,16777,"West"
"286","SUNY at Fredonia","Fredonia","NY",3,4,1,"EAST",5049,NA,20802,7400,16850,"West"
"287","SUNY College at Geneseo","Geneseo","NY",3,4,1,"EAST",5463,NA,21004,7430,16880,"West"
"288","State University of New York at New Paltz","New Paltz","NY",3,4,1,"EAST",6397,NA,20428,7083,16533,"West"
"289","SUNY Oneonta","Oneonta","NY",3,4,1,"EAST",5759,NA,20762,7230,16680,"West"
"290","SUNY College at Oswego","Oswego","NY",3,4,1,"EAST",7245,NA,21222,7181,16631,"West"
"291","SUNY College at Potsdam","Potsdam","NY",3,4,1,"EAST",3683,NA,19829,7174,16624,"West"
"292","SUNY at Purchase College","Purchase","NY",3,4,1,"EAST",4017,NA,22381,7573,17023,"West"
"293","SUNY College at Old Westbury","Old Westbury","NY",3,4,1,"EAST",4045,NA,15888,6624,15874,"West"
"294","SUNY College at Plattsburgh","Plattsburgh","NY",3,4,1,"EAST",5494,NA,20371,7179,16629,"West"
"295","SUNY Empire State College","Saratoga Springs","NY",3,4,1,"EAST",9793,NA,19755,6265,15715,"West"
"296","SUNY Maritime College","Throggs Neck","NY",3,4,1,"EAST",1565,NA,21493,7109,16559,"West"
"297","United States Merchant Marine Academy","Kings Point","NY",3,4,1,"EAST",958,NA,6603,1032,1032,"West"
"298","Appalachian State University","Boone","NC",3,4,1,"EAST",15840,NA,17780,6462,18670,"West"
"299","East Carolina University","Greenville","NC",3,4,1,"EAST",20625,NA,19851,6143,20256,"West"
"300","Elizabeth City State University","Elizabeth City","NC",3,4,1,"EAST",2276,NA,10620,4429,15286,"West"
"301","Fayetteville State University","Fayetteville","NC",3,4,1,"EAST",5077,NA,13188,4605,15401,"West"
"302","North Carolina A & T State University","Greensboro","NC",3,4,1,"EAST",8577,NA,15313,5422,16503,"West"
"303","University of North Carolina at Asheville","Asheville","NC",3,4,1,"EAST",3323,NA,17468,6241,20063,"West"
"304","University of North Carolina at Chapel Hill","Chapel Hill","NC",3,4,1,"EAST",17882,NA,23069,8340,30122,"West"
"305","University of North Carolina at Charlotte","Charlotte","NC",3,4,1,"EAST",21400,NA,17767,6107,18636,"West"
"306","University of North Carolina at Greensboro","Greensboro","NC",3,4,1,"EAST",14138,NA,17362,6382,20180,"West"
"307","North Carolina Central University","Durham","NC",3,4,1,"EAST",5876,NA,17873,5526,16099,"West"
"308","University of North Carolina School of the Arts","Winston-Salem","NC",3,4,1,"EAST",792,NA,19666,8271,21416,"West"
"309","North Carolina State University at Raleigh","Raleigh","NC",3,4,1,"EAST",22977,NA,20511,8206,21661,"West"
"310","University of North Carolina Wilmington","Wilmington","NC",3,4,1,"EAST",12178,NA,18165,6343,18480,"West"
"311","University of North Carolina at Pembroke","Pembroke","NC",3,4,1,"EAST",5184,NA,15784,5144,14351,"West"
"312","Winston-Salem State University","Winston-Salem","NC",3,4,1,"EAST",4877,NA,15990,5468,14281,"West"
"313","Western Carolina University","Cullowhee","NC",3,4,1,"EAST",8238,NA,17805,6265,15862,"West"
"314","Minot State University","Minot","ND",3,4,1,"WEST",2693,NA,14549,6086,6086,"West"
"315","University of North Dakota","Grand Forks","ND",3,4,1,"WEST",11182,NA,20538,7508,17794,"West"
"316","North Dakota State University-Main Campus","Fargo","ND",3,4,1,"WEST",11629,NA,18277,7660,18242,"West"
"317","Valley City State University","Valley City","ND",3,4,1,"WEST",924,NA,16086,6516,14596,"West"
"318","University of Akron Main Campus","Akron","OH",3,4,1,"EAST",19022,NA,21338,10054,18418,"West"
"319","Bowling Green State University-Main Campus","Bowling Green","OH",3,4,1,"EAST",14161,NA,22416,10726,18034,"West"
"320","Central State University","Wilberforce","OH",3,4,1,"EAST",2028,NA,17380,6058,13510,"West"
"321","University of Cincinnati-Main Campus","Cincinnati","OH",3,4,1,"EAST",23360,NA,25799,10784,25816,"West"
"322","Cleveland State University","Cleveland","OH",3,4,1,"EAST",11484,NA,22041,9499,12678,"West"
"323","Kent State University at Kent","Kent","OH",3,4,1,"EAST",22071,NA,23995,9816,17776,"West"
"324","Miami University-Hamilton","Hamilton","OH",3,4,1,"EAST",3421,NA,17107,5072,14165,"West"
"325","Miami University-Middletown","Middletown","OH",3,4,1,"EAST",1765,NA,18054,5072,14165,"West"
"326","Miami University-Oxford","Oxford","OH",3,4,1,"EAST",15378,NA,30858,13800,29590,"West"
"327","Ohio State University-Main Campus","Columbus","OH",3,4,1,"EAST",43139,NA,24524,10037,25757,"West"
"328","Ohio University-Main Campus","Athens","OH",3,4,1,"EAST",23331,NA,23605,10446,19410,"West"
"329","Shawnee State University","Portsmouth","OH",3,4,1,"EAST",4110,NA,17742,7177,12291,"West"
"330","University of Toledo","Toledo","OH",3,4,1,"EAST",15440,NA,21263,9275,18395,"West"
"331","Wright State University-Main Campus","Dayton","OH",3,4,1,"EAST",12161,NA,20762,8542,16546,"West"
"332","Youngstown State University","Youngstown","OH",3,4,1,"EAST",11613,NA,17350,8129,8358,"West"
"333","Cameron University","Lawton","OK",3,4,1,"WEST",5043,NA,14852,5055,12495,"West"
"334","University of Central Oklahoma","Edmond","OK",3,4,1,"WEST",15119,NA,16684,5437,13551,"West"
"335","East Central University","Ada","OK",3,4,1,"WEST",3757,NA,13735,5241,12643,"West"
"336","Langston University","Langston","OK",3,4,1,"WEST",2062,NA,13531,3815,9239,"West"
"337","Northeastern State University","Tahlequah","OK",3,4,1,"WEST",7215,NA,13296,4992,12012,"West"
"338","Northwestern Oklahoma State University","Alva","OK",3,4,1,"WEST",2005,NA,13065,5642,11764,"West"
"339","Oklahoma State University-Main Campus","Stillwater","OK",3,4,1,"WEST",20314,NA,21338,7442,20027,"West"
"340","University of Oklahoma-Norman Campus","Norman","OK",3,4,1,"WEST",20528,NA,23263,8916,21105,"West"
"341","Southeastern Oklahoma State University","Durant","OK",3,4,1,"WEST",3363,NA,14050,5315,13440,"West"
"342","Southwestern Oklahoma State University","Weatherford","OK",3,4,1,"WEST",3985,NA,16660,5460,11820,"West"
"343","Eastern Oregon University","La Grande","OR",3,4,1,"WEST",3422,NA,18959,7530,16755,"West"
"344","Oregon Institute of Technology","Klamath Falls","OR",3,4,1,"WEST",3443,NA,18801,8548,22188,"West"
"345","Oregon State University","Corvallis","OR",3,4,1,"WEST",22349,NA,22974,8322,23514,"West"
"346","University of Oregon","Eugene","OR",3,4,1,"WEST",20473,NA,22390,9763,29788,"West"
"347","Portland State University","Portland","OR",3,4,1,"WEST",20085,NA,19843,7878,23088,"West"
"348","Southern Oregon University","Ashland","OR",3,4,1,"WEST",4436,NA,18285,7438,19900,"West"
"349","Western Oregon University","Monmouth","OR",3,4,1,"WEST",5142,NA,21732,8634,21759,"West"
"350","Bloomsburg University of Pennsylvania","Bloomsburg","PA",3,4,1,"EAST",9245,NA,21732,8582,18706,"West"
"351","California University of Pennsylvania","California","PA",3,4,1,"EAST",6393,NA,23081,9239,13091,"West"
"352","Cheyney University of Pennsylvania","Cheyney","PA",3,4,1,"EAST",1178,NA,21605,8806,13302,"West"
"353","Clarion University of Pennsylvania","Clarion","PA",3,4,1,"EAST",5046,NA,20478,9404,13237,"West"
"354","East Stroudsburg University of Pennsylvania","East Stroudsburg","PA",3,4,1,"EAST",6109,NA,20282,8991,19115,"West"
"355","Edinboro University of Pennsylvania","Edinboro","PA",3,4,1,"EAST",5756,NA,19886,8849,12701,"West"
"356","Indiana University of Pennsylvania-Main Campus","Indiana","PA",3,4,1,"EAST",12405,NA,22936,9080,20216,"West"
"357","Kutztown University of Pennsylvania","Kutztown","PA",3,4,1,"EAST",8538,NA,23130,8819,18943,"West"
"358","Lincoln University of Pennsylvania","Lincoln University","PA",3,4,1,"EAST",1614,NA,22497,9804,15084,"West"
"359","Lock Haven University","Lock Haven","PA",3,4,1,"EAST",4783,NA,19145,8899,17023,"West"
"360","Mansfield University of Pennsylvania","Mansfield","PA",3,4,1,"EAST",2640,NA,21432,9192,19316,"West"
"361","Millersville University of Pennsylvania","Millersville","PA",3,4,1,"EAST",7313,NA,21756,8866,18990,"West"
"362","Pennsylvania State University-Penn State Erie-Behrend College","Erie","PA",3,4,1,"EAST",3797,NA,27759,14240,21302,"West"
"363","Pennsylvania State University-Penn State Lehigh Valley","Center Valley","PA",3,4,1,"EAST",788,NA,19456,13602,20278,"West"
"364","Pennsylvania State University-Penn State Berks","Reading","PA",3,4,1,"EAST",2573,NA,25931,14240,21302,"West"
"365","Pennsylvania State University-Penn State Harrisburg","Middletown","PA",3,4,1,"EAST",3461,NA,26651,14240,21302,"West"
"366","Pennsylvania State University-Main Campus","University Park","PA",3,4,1,"EAST",39460,NA,31625,16992,29566,"West"
"367","Pennsylvania State University-Penn State Abington","Abington","PA",3,4,1,"EAST",3231,NA,19611,13608,20284,"West"
"368","Pennsylvania State University-Penn State York","York","PA",3,4,1,"EAST",943,NA,19761,13602,20278,"West"
"369","University of Pittsburgh-Pittsburgh Campus","Pittsburgh","PA",3,4,1,"EAST",18304,NA,30410,17100,27106,"West"
"370","Shippensburg University of Pennsylvania","Shippensburg","PA",3,4,1,"EAST",6493,NA,20840,9448,17916,"West"
"371","Slippery Rock University of Pennsylvania","Slippery Rock","PA",3,4,1,"EAST",7544,NA,21303,9027,12529,"West"
"372","Temple University","Philadelphia","PA",3,4,1,"EAST",27511,NA,27247,14096,24122,"West"
"373","West Chester University of Pennsylvania","West Chester","PA",3,4,1,"EAST",13456,NA,24997,8850,18974,"West"
"374","Rhode Island College","Providence","RI",3,4,1,"EAST",7253,NA,14858,7602,18300,"West"
"375","University of Rhode Island","Kingston","RI",3,4,1,"EAST",13008,NA,26262,12450,28016,"West"
"376","College of Charleston","Charleston","SC",3,4,1,"EAST",10150,NA,25086,10626,27090,"West"
"377","Citadel Military College of South Carolina","Charleston","SC",3,4,1,"EAST",2660,NA,24827,10838,29639,"West"
"378","Clemson University","Clemson","SC",3,4,1,"EAST",16801,NA,27944,13054,30488,"West"
"379","Francis Marion University","Florence","SC",3,4,1,"EAST",3380,NA,19965,9386,18364,"West"
"380","Lander University","Greenwood","SC",3,4,1,"EAST",2750,NA,21628,10100,19136,"West"
"381","University of South Carolina-Aiken","Aiken","SC",3,4,1,"EAST",2956,NA,18466,9308,18340,"West"
"382","University of South Carolina-Columbia","Columbia","SC",3,4,1,"EAST",23987,NA,23685,10816,28528,"West"
"383","Coastal Carolina University","Conway","SC",3,4,1,"EAST",8570,NA,21601,9760,22770,"West"
"384","South Carolina State University","Orangeburg","SC",3,4,1,"EAST",2876,NA,25265,9776,18910,"West"
"385","University of South Carolina-Upstate","Spartanburg","SC",3,4,1,"EAST",4952,NA,20848,10198,20226,"West"
"386","Winthrop University","Rock Hill","SC",3,4,1,"EAST",4704,NA,24595,13670,26240,"West"
"387","Black Hills State University","Spearfish","SD",3,4,1,"WEST",3156,NA,15906,7617,9617,"West"
"388","Dakota State University","Madison","SD",3,4,1,"WEST",1743,NA,17201,7506,9506,"West"
"389","Northern State University","Aberdeen","SD",3,4,1,"WEST",1758,NA,17334,7563,9562,"West"
"390","South Dakota School of Mines and Technology","Rapid City","SD",3,4,1,"WEST",2194,NA,20234,10040,12870,"West"
"391","South Dakota State University","Brookings","SD",3,4,1,"WEST",10048,NA,18547,7713,9795,"West"
"392","University of South Dakota","Vermillion","SD",3,4,1,"WEST",6449,NA,18843,8022,10104,"West"
"393","Austin Peay State University","Clarksville","TN",3,4,1,"EAST",9271,NA,18852,6876,21372,"West"
"394","East Tennessee State University","Johnson City","TN",3,4,1,"EAST",11399,NA,22485,7249,22561,"West"
"395","University of Memphis","Memphis","TN",3,4,1,"EAST",16178,NA,20899,8312,23024,"West"
"396","Middle Tennessee State University","Murfreesboro","TN",3,4,1,"EAST",20914,NA,17501,7546,23002,"West"
"397","The University of Tennessee-Chattanooga","Chattanooga","TN",3,4,1,"EAST",10184,NA,19192,7554,22760,"West"
"398","The University of Tennessee-Knoxville","Knoxville","TN",3,4,1,"EAST",20948,NA,24746,11194,29684,"West"
"399","The University of Tennessee-Martin","Martin","TN",3,4,1,"EAST",6554,NA,16227,7507,21451,"West"
"400","Tennessee State University","Nashville","TN",3,4,1,"EAST",6669,NA,16903,6498,19218,"West"
"401","Tennessee Technological University","Cookeville","TN",3,4,1,"EAST",9827,NA,19900,7063,22063,"West"
"402","Angelo State University","San Angelo","TX",3,4,1,"WEST",5430,NA,19511,6559,15055,"West"
"403","Texas A & M University-Corpus Christi","Corpus Christi","TX",3,4,1,"WEST",9137,NA,17782,7172,15668,"West"
"404","Texas A & M University-Texarkana","Texarkana","TX",3,4,1,"WEST",1391,NA,14147,5578,14002,"West"
"405","Texas A & M University-Commerce","Commerce","TX",3,4,1,"WEST",6951,NA,18487,6583,17203,"West"
"406","University of Houston-Downtown","Houston","TX",3,4,1,"WEST",13297,NA,18879,5238,13734,"West"
"407","University of Houston-Victoria","Victoria","TX",3,4,1,"WEST",2879,NA,17508,6248,16868,"West"
"408","University of Houston","Houston","TX",3,4,1,"WEST",30357,NA,22215,8401,16897,"West"
"409","Lamar University","Beaumont","TX",3,4,1,"WEST",9175,NA,21142,7429,15925,"West"
"410","Texas A & M International University","Laredo","TX",3,4,1,"WEST",6560,NA,15272,5818,14314,"West"
"411","Midwestern State University","Wichita Falls","TX",3,4,1,"WEST",5192,NA,15704,7665,9615,"West"
"412","University of North Texas","Denton","TX",3,4,1,"WEST",31243,NA,18593,8745,17241,"West"
"413","The University of Texas-Pan American","Edinburg","TX",3,4,1,"WEST",17200,NA,11601,5173,13669,"West"
"414","The University of Texas at Brownsville","Brownsville","TX",3,4,1,"WEST",10379,NA,13651,5372,14834,"West"
"415","Prairie View A & M University","Prairie View","TX",3,4,1,"WEST",6731,NA,16782,6764,15350,"West"
"416","Sam Houston State University","Huntsville","TX",3,4,1,"WEST",16255,NA,19173,7022,15518,"West"
"417","Stephen F Austin State University","Nacogdoches","TX",3,4,1,"WEST",10715,NA,21909,8412,19032,"West"
"418","Texas State University","San Marcos","TX",3,4,1,"WEST",31005,NA,19721,8060,17264,"West"
"419","Sul Ross State University","Alpine","TX",3,4,1,"WEST",2000,NA,17254,5436,13932,"West"
"420","Tarleton State University","Stephenville","TX",3,4,1,"WEST",11328,NA,17709,5856,14352,"West"
"421","Texas A & M University-Kingsville","Kingsville","TX",3,4,1,"WEST",9400,NA,19721,6940,17560,"West"
"422","Texas A & M University-College Station","College Station","TX",3,4,1,"WEST",43931,NA,20819,8506,25126,"West"
"423","The University of Texas at Arlington","Arlington","TX",3,4,1,"WEST",25415,NA,21420,8878,17374,"West"
"424","The University of Texas at Austin","Austin","TX",3,4,1,"WEST",39323,NA,25176,9798,33842,"West"
"425","The University of Texas at Dallas","Richardson","TX",3,4,1,"WEST",13042,NA,22381,10864,26038,"West"
"426","The University of Texas at El Paso","El Paso","TX",3,4,1,"WEST",19527,NA,15272,7255,19175,"West"
"427","The University of Texas at Tyler","Tyler","TX",3,4,1,"WEST",5338,NA,19366,7222,17842,"West"
"428","The University of Texas of the Permian Basin","Odessa","TX",3,4,1,"WEST",2947,NA,14292,5250,13674,"West"
"429","The University of Texas at San Antonio","San Antonio","TX",3,4,1,"WEST",23840,NA,18936,7457,16031,"West"
"430","Texas Southern University","Houston","TX",3,4,1,"WEST",6288,NA,22311,7946,18566,"West"
"431","Texas Tech University","Lubbock","TX",3,4,1,"WEST",26809,NA,20900,7517,16013,"West"
"432","Texas Woman's University","Denton","TX",3,4,1,"WEST",9220,NA,16345,7339,17965,"West"
"433","West Texas A & M University","Canyon","TX",3,4,1,"WEST",6890,NA,17553,6500,7220,"West"
"434","Southern Utah University","Cedar City","UT",3,4,1,"WEST",5620,NA,18042,5924,17902,"West"
"435","Utah State University","Logan","UT",3,4,1,"WEST",20775,NA,16020,6030,17550,"West"
"436","Utah Valley University","Orem","UT",3,4,1,"WEST",24243,NA,14213,5086,14256,"West"
"437","University of Utah","Salt Lake City","UT",3,4,1,"WEST",23273,NA,19048,7457,23736,"West"
"438","Weber State University","Ogden","UT",3,4,1,"WEST",17314,NA,13204,4990,13311,"West"
"439","Castleton State College","Castleton","VT",3,4,1,"EAST",2022,NA,20799,10286,24014,"West"
"440","Johnson State College","Johnson","VT",3,4,1,"EAST",1433,NA,20404,10286,21950,"West"
"441","Lyndon State College","Lyndonville","VT",3,4,1,"EAST",1363,NA,19178,10286,20942,"West"
"442","University of Vermont","Burlington","VT",3,4,1,"EAST",9970,NA,27788,15718,36646,"West"
"443","College of William and Mary","Williamsburg","VA",3,4,1,"EAST",6235,NA,25938,15463,38440,"West"
"444","Christopher Newport University","Newport News","VA",3,4,1,"EAST",5083,NA,24696,11092,20992,"West"
"445","George Mason University","Fairfax","VA",3,4,1,"EAST",21324,NA,22332,9908,28592,"West"
"446","James Madison University","Harrisonburg","VA",3,4,1,"EAST",18127,NA,21980,9176,23654,"West"
"447","Longwood University","Farmville","VA",3,4,1,"EAST",4357,NA,23707,11340,24210,"West"
"448","University of Mary Washington","Fredericksburg","VA",3,4,1,"EAST",4303,NA,21862,9720,22590,"West"
"449","Norfolk State University","Norfolk","VA",3,4,1,"EAST",5955,NA,18837,7126,20596,"West"
"450","Old Dominion University","Norfolk","VA",3,4,1,"EAST",19483,NA,20531,8550,24210,"West"
"451","Radford University","Radford","VA",3,4,1,"EAST",8866,NA,19987,8976,21141,"West"
"452","Virginia Polytechnic Institute and State University","Blacksburg","VA",3,4,1,"EAST",23928,NA,25513,11455,27211,"West"
"453","Virginia Commonwealth University","Richmond","VA",3,4,1,"EAST",22049,NA,25291,12002,29473,"West"
"454","University of Virginia-Main Campus","Charlottesville","VA",3,4,1,"EAST",15020,NA,25255,12668,40054,"West"
"455","Virginia State University","Petersburg","VA",3,4,1,"EAST",5023,NA,20075,7784,17192,"West"
"456","Central Washington University","Ellensburg","WA",3,4,1,"WEST",9958,NA,21401,8976,20886,"West"
"457","Eastern Washington University","Cheney","WA",3,4,1,"WEST",11672,NA,19831,7961,19612,"West"
"458","The Evergreen State College","Olympia","WA",3,4,1,"WEST",4017,NA,21433,8574,20661,"West"
"459","Washington State University","Pullman","WA",3,4,1,"WEST",22825,NA,26292,12327,25409,"West"
"460","University of Washington-Seattle Campus","Seattle","WA",3,4,1,"WEST",28754,NA,24606,12397,31971,"West"
"461","Western Washington University","Bellingham","WA",3,4,1,"WEST",13925,NA,22009,8863,19752,"West"
"462","Concord University","Athens","WV",3,4,1,"EAST",2474,NA,17146,6160,13490,"West"
"463","Fairmont State University","Fairmont","WV",3,4,1,"EAST",3856,NA,14710,5824,12288,"West"
"464","Marshall University","Huntington","WV",3,4,1,"EAST",9098,NA,16361,6216,14446,"West"
"465","Shepherd University","Shepherdstown","WV",3,4,1,"EAST",3695,NA,14846,6256,15840,"West"
"466","West Virginia State University","Institute","WV",3,4,1,"EAST",2195,NA,13756,5932,13864,"West"
"467","West Liberty University","West Liberty","WV",3,4,1,"EAST",2412,NA,18406,6226,13540,"West"
"468","West Virginia University","Morgantown","WV",3,4,1,"EAST",22130,NA,16898,6456,19632,"West"
"469","University of Wisconsin-Whitewater","Whitewater","WI",3,4,1,"EAST",10438,NA,16107,7578,15151,"West"
"470","University of Wisconsin-Eau Claire","Eau Claire","WI",3,4,1,"EAST",10218,NA,18066,8710,16283,"West"
"471","University of Wisconsin-Green Bay","Green Bay","WI",3,4,1,"EAST",5765,NA,16878,7676,15249,"West"
"472","University of Wisconsin-La Crosse","La Crosse","WI",3,4,1,"EAST",9335,NA,17896,8769,16342,"West"
"473","University of Wisconsin-Oshkosh","Oshkosh","WI",3,4,1,"EAST",10633,NA,16935,7401,14974,"West"
"474","University of Wisconsin-Parkside","Kenosha","WI",3,4,1,"EAST",4354,NA,15218,7316,14889,"West"
"475","University of Wisconsin-Stout","Menomonie","WI",3,4,1,"EAST",8094,NA,18192,8968,16714,"West"
"476","University of Wisconsin-Superior","Superior","WI",3,4,1,"EAST",2415,NA,16953,7946,15519,"West"
"477","University of Wisconsin-Madison","Madison","WI",3,4,1,"EAST",29504,NA,23718,10403,26653,"West"
"478","University of Wisconsin-Milwaukee","Milwaukee","WI",3,4,1,"EAST",21747,NA,21203,9300,19029,"West"
"479","University of Wisconsin-Platteville","Platteville","WI",3,4,1,"EAST",7740,NA,16824,7484,15057,"West"
"480","University of Wisconsin-River Falls","River Falls","WI",3,4,1,"EAST",5506,NA,16682,7720,15293,"West"
"481","University of Wisconsin-Stevens Point","Stevens Point","WI",3,4,1,"EAST",9150,NA,16427,7577,15150,"West"
"482","University of Wyoming","Laramie","WY",3,4,1,"WEST",9969,NA,17652,4404,14124,"West"
"483","University of Guam","Mangilao","GU",3,4,1,"WEST",3488,NA,13026,5098,14098,"West"
"484","Puerto Rico Conservatory of Music","San Juan","PR",3,4,1,"WEST",424,NA,12004,3370,3370,"West"
"485","University of Puerto Rico-Mayaguez","Mayaguez","PR",3,4,1,"WEST",10697,NA,14726,2019,4041,"West"
"486","University of Puerto Rico-Rio Piedras","San Juan","PR",3,4,1,"WEST",11834,NA,8020,2082,4104,"West"
"487","University of the Virgin Islands","Charlotte Amalie","VI",3,4,1,"WEST",2023,NA,16261,4794,13174,"West"
"488","Purdue University-Main Campus","West Lafayette","IN",3,4,1,"EAST",30167,NA,23109,9992,28794,"West"
"489","California State University-San Marcos","San Marcos","CA",3,4,1,"WEST",10689,NA,20386,6649,17809,"West"
"490","University of Washington-Bothell Campus","Bothell","WA",3,4,1,"WEST",4077,NA,22800,11911,31485,"West"
"491","University of Washington-Tacoma Campus","Tacoma","WA",3,4,1,"WEST",3587,NA,22185,11902,31476,"West"
"492","Arizona State University-West","Glendale","AZ",3,4,1,"WEST",3243,NA,20269,9545,22497,"West"
"493","California State University-Monterey Bay","Seaside","CA",3,4,1,"WEST",5153,NA,18479,5963,17123,"West"
"494","Arizona State University-Polytechnic","Mesa","AZ",3,4,1,"WEST",3305,NA,21256,9545,22497,"West"
"495","Florida Gulf Coast University","Fort Myers","FL",3,4,1,"EAST",12795,NA,18097,6118,25440,"West"
"496","University of Connecticut-Tri-Campus","Waterbury","CT",3,4,1,"EAST",2382,NA,13099,10056,29004,"West"
"497","University of Connecticut-Avery Point","Groton","CT",3,4,1,"EAST",645,NA,12946,10056,29004,"West"
"498","University of Connecticut-Stamford","Stamford","CT",3,4,1,"EAST",1224,NA,13028,10066,29014,"West"
"499","California State University-Channel Islands","Camarillo","CA",3,4,1,"WEST",4950,NA,22570,6471,17631,"West"
"500","University of California-Merced","Merced","CA",3,4,1,"WEST",5837,NA,30637,13160,36038,"West"
"501","University of South Florida-St Petersburg","St. Petersburg","FL",3,4,1,"EAST",3955,NA,18821,5820,16736,"West"
"502","Arizona State University-Downtown Phoenix","Phoenix","AZ",3,4,1,"WEST",8555,NA,22909,9861,23654,"West"
"503","Pennsylvania State University-World Campus","University Park","PA",3,4,1,"EAST",4881,NA,25441,13202,13202,"West"
"504","Georgia Regents University","Augusta","GA",3,4,1,"EAST",5456,NA,7715,3276,9723,"West"
"505","University of North Georgia","Dahlonega","GA",3,4,1,"EAST",14502,NA,16525,4219,12133,"West"
"506","Arizona State University-Skysong","Scottsdale","AZ",3,4,1,"WEST",8227,NA,19666,7866,11209,"West"
